20	10	55 3	1.88E2	9.66E-1	1.18E0	5	1	2	0.887	
20	20	35 5	1.39E2	9.84E-1	1.09E0	5	4	1	0.899	
20	10	45 10	1.47E2	9.32E-1	1.01E0	5	4	2	0.797	
30	20	55 3	1.92E2	9.59E-1	1.19E0	5	4	4	0.663	
10	20	55 5	1.75E2	9.42E-1	1.13E0	4	3	2	0.879	
20	10	45 5	1.55E2	9.61E-1	1.11E0	4	3	4	0.471	
10	10	45 10	1.50E2	9.16E-1	1.05E0	10	3	1	0.825	
30	-1	55 5	2.43E2	1.01E0	1.22E0	5	16	4	0.393	
10	10	45 5	1.51E2	9.46E-1	1.07E0	5	3	2	0.786	
30	10	35 3	1.30E2	9.54E-1	1.05E0	7	3	4	0.619	
20	20	45 10	1.46E2	9.30E-1	1.02E0	7	3	1	0.835	
10	-1	45 5	1.74E2	9.86E-1	1.16E0	5	2	1	0.606	
10	20	55 10	1.70E2	9.41E-1	1.07E0	5	3	0	0.648	
10	10	55 10	1.72E2	9.39E-1	1.07E0	5	3	1	0.713	
30	-1	35 3	1.38E2	9.57E-1	1.06E0	7	2	3	0.648	
20	-1	45 3	1.77E2	9.85E-1	1.20E0	5	2	3	0.597	
20	-1	35 5	1.35E2	9.90E-1	1.11E0	7	3	3	0.989	
10	10	55 5	1.74E2	9.35E-1	1.12E0	5	2	1	1.038	
30	10	55 5	1.84E2	9.69E-1	1.20E0	5	5	3	0.658	
20	-1	55 3	2.10E2	9.69E-1	1.29E0	3	2	2	0.561	
30	20	35 5	1.27E2	9.76E-1	1.06E0	7	3	5	0.599	
10	-1	35 10	1.28E2	9.43E-1	1.09E0	7	4	3	0.848	
