152021646.499634 15.380618 6.353602  11.218483 281
152660369.873047 15.449409 5.495919  15.590635 282
153365850.448608 15.584464 4.520236  14.702466 283
153706789.016724 2.407105 9.999640  48.707829 284
154073238.372803 15.368441 3.471880  31.689476 285
154551744.461060 2.617293 9.140805  39.634281 286
154694080.352783 15.312813 2.473991  46.758636 287
154946088.790894 15.492261 1.525895  46.820023 288
155376434.326172 2.364038 8.121921  11.666525 289
155435562.133789 15.458982 0.262000  36.235161 290
155494689.941406 19.629622 9.437553  26.421524 291
155904531.478882 2.197580 7.349566  13.604639 292
155916213.989258 19.858416 8.515757  12.945490 293
156365871.429443 15.561127 -1.911958  51.082001 294
156495809.555054 15.545168 -2.822216  81.105072 295
156621217.727661 15.606601 -3.794247  83.408203 296
156757593.154907 15.440272 -4.943096  74.104507 297
156816482.543945 20.003008 7.519863  21.702177 298
156876325.607300 2.226166 6.091378  9.398909 299
157117843.627930 15.459000 -8.206053  80.387817 300
157266139.984131 15.350451 -6.148366  51.479393 301
157414197.921753 15.260693 -10.317159  117.035706 302
157427549.362183 15.192995 -7.062372  64.962418 303
157437086.105347 15.400888 -9.084084  137.725952 304
157699823.379517 19.690718 6.009206  48.319469 305
157700777.053833 20.328541 6.939454  21.294853 306
158149480.819702 2.450788 4.060003  12.742368 307
158400058.746338 19.865641 5.609291  42.645420 308
158733844.757080 2.586425 2.968798  12.026188 309
159165859.222412 19.983263 4.466014  70.528778 310
159567117.691040 2.655759 1.993631  24.990036 311
159784793.853760 20.264624 3.485935  62.970062 312
159958362.579346 2.674475 1.170331  18.596924 313
160367965.698242 20.327059 2.275018  30.277412 314
160503625.869751 2.384674 -0.121137  12.131541 315
160642623.901367 20.340910 1.218001  36.126938 317
160826921.463013 6.907864 10.346239  3.765572 318
160895109.176636 20.158123 0.139536  67.178825 319
160920143.127441 2.364820 -1.027132  36.554073 320
161345958.709717 2.135489 -1.997154  28.416309 321
161389350.891113 19.996782 -0.769718  91.827393 322
161516666.412354 2.703833 -3.447926  20.937164 323
161796331.405640 2.705765 -4.503424  12.641997 324
161917448.043823 6.996167 9.229789  6.551560 325
161930799.484253 19.938747 -1.883240  106.391998 326
162039756.774902 20.022539 -3.120787  87.859131 327
162159919.738770 2.527909 -5.584155  27.814997 328
162333250.045776 19.940578 -4.331153  43.749828 329
162377119.064331 2.346855 -6.722776  36.353416 330
162377834.320068 2.087177 -6.806279  29.417812 331
162404775.619507 20.050961 -5.295994  106.182983 332
162497282.028198 2.484899 -7.698348  46.431030 333
162698268.890381 7.008754 8.112016  10.234560 334
162720918.655396 19.896748 -7.633136  191.967102 335
162765979.766846 20.182831 -5.898231  114.573822 336
162766456.604004 20.223625 -7.096238  145.414001 337
162869691.848755 2.503534 -9.913083  28.546003 338
162893533.706665 19.646841 -10.357160  146.528473 339
162948846.817017 19.923183 -7.032896  161.973877 340
163111209.869385 19.628746 -9.360520  113.739563 341
163401365.280151 7.154225 7.014809  12.670994 343
164290904.998779 7.058448 6.049711  15.429405 345
165220260.620117 7.156332 5.106441  21.426228 348
165727376.937866 7.136128 4.135806  11.342524 349
166286230.087280 7.090820 3.250904  12.746906 352
167108297.348022 7.206120 2.043895  23.660089 355
167226314.544678 11.851008 10.271939  18.840635 356
167633056.640625 7.125645 1.191968  30.957935 358
168157339.096069 7.363263 -0.167203  9.862958 363
168217420.578003 11.728057 9.149659  15.943654 364
168613672.256470 7.306452 -1.221929  16.375465 368
169104576.110840 11.699047 8.186533  8.941598 369
169163942.337036 7.477002 -2.166926  21.945547 370
169303894.042969 7.258738 -3.275095  32.265041 371
169617891.311646 7.275497 -4.335922  43.240726 372
169871568.679810 7.248693 -5.480117  51.516434 373
169933080.673218 11.776134 7.440293  19.471163 374
170186281.204224 7.391690 -6.456975  48.007042 375
170196533.203125 7.182635 -8.175331  30.272568 376
170490503.311157 7.357321 -8.634497  35.084888 377
170602798.461914 7.258059 -9.719184  44.105103 378
170852899.551392 11.673519 6.242385  10.854269 379
171554088.592529 11.872432 5.272485  26.863924 380
172132253.646851 11.995644 4.062829  21.406574 381
172931432.723999 12.011712 2.825233  10.877868 382
173653364.181519 16.400002 10.399999  0.000000 383
173703908.920288 12.042348 2.000414  24.032349 384
174073696.136475 11.978601 0.947391  29.984375 385
174248218.536377 16.470516 9.290236  12.331469 386
174670696.258545 11.896083 0.092941  41.434753 387
175270795.822144 12.028146 -0.882851  53.690536 388
175349950.790405 16.415649 8.233134  20.221731 389
175591468.811035 12.117097 -2.063905  42.213486 390
175874471.664429 12.093273 -3.208479  43.429100 391
176185131.072998 13.276260 0.276996  427.523346 392
176510095.596313 12.050117 -5.377512  64.630699 393
176705360.412598 12.075326 -6.319545  76.341125 394
176717758.178711 11.926216 -7.119657  77.891159 395
176935195.922852 16.706553 6.084740  31.560081 396
176955699.920654 11.866127 -8.236193  83.035141 397
177005767.822266 11.792553 -9.522137  103.987244 398
177098512.649536 3.524786 9.725549  36.201859 399
177766799.926758 16.669054 5.192293  23.359627 400
178127527.236938 3.536943 8.730648  34.556885 401
178705930.709839 16.701395 4.305848  24.811069 402
178993940.353394 20.514761 9.857458  43.939682 403
179165363.311768 3.561883 7.727895  16.899179 404
179485797.882080 16.618912 3.022513  30.511814 405
179522514.343262 20.915661 9.022300  24.968559 406
179780006.408691 16.529303 2.114435  55.968872 407
180017471.313477 3.503524 6.790125  10.432179 408
180369853.973389 16.736753 1.076307  57.550125 409
180662155.151367 20.917912 8.221404  27.575094 410
181706428.527832 16.777822 -1.161102  38.423176 412
181746721.267700 20.916719 7.302877  16.127331 413
181911706.924438 3.687212 4.610362  20.152388 414
181949377.059937 16.677614 -2.243377  55.656296 415
