#Bolo Name   Readout Address   SQUID Address   DIO column     Rel X Rel Y  
  P2(D2)    e9:rb7   e8:sa5  143   -6.00000   -51.96152
  P2(D1)    e9:rb8   e8:sa5  144   -0.00000   -62.35383
  P2(E8)    ea:ra1   e8:sa6  145   6.00000   -72.74613
  P2(E7)    ea:ra2   e8:sa6  146   12.00000   -83.13844
  P2(E6)    ea:ra3   e8:sa6  147   18.00000   -93.53074
  P2(E5)    ea:ra4   e8:sa6  148   24.00000   -103.92305
  P2(E4)    ea:ra5   e8:sa6  149   -12.00000   -20.78461
  P2(E3)    ea:ra6   e8:sa6  150   -6.00000   -31.17692
  P2(E2)    ea:ra7   e8:sa6  151   -0.00000   -41.56922
  P2(E1)    ea:ra8   e8:sa6  152   6.00000   -51.96152
  P2(F8)    ea:rb1   e8:sa7  153   12.00000   -62.35383
  P2(F7)    ea:rb2   e8:sa7  154   18.00000   -72.74613
  P2(F6)    ea:rb3   e8:sa7  155   24.00000   -83.13844
  P2(F5)    ea:rb4   e8:sa7  156   30.00000   -93.53074
  P2(F4)    ea:rb5   e8:sa7  157   36.00000   -103.92305
  P2(F3)    ea:rb6   e8:sa7  158   -6.00000   -10.39231
  P2(F2)    ea:rb7   e8:sa7  159   -0.00000   -20.78461
  P2(F1)    ea:rb8   e8:sa7  160   6.00000   -31.17692
  P2(G8)    ec:ra1   e8:sa8  161   12.00000   -41.56922
  P2(G7)    ec:ra2   e8:sa8  162   18.00000   -51.96152
  P2(G6)    ec:ra3   e8:sa8  163   24.00000   -62.35383
  P2(G5)    ec:ra4   e8:sa8  164   30.00000   -72.74613
  P2(G4)    ec:ra5   e8:sa8  165   36.00000   -83.13844
  P2(G3)    ec:ra6   e8:sa8  166   42.00000   -93.53074
  P2(G2)    ec:ra7   e8:sa8  167   48.00000   -103.92305
  P6(A8)    ec:rb1   ed:sa2  169   -120.00000   -0.00000
  P6(A7)    ec:rb2   ed:sa2  170   -108.00000   -0.00000
  P6(A6)    ec:rb3   ed:sa2  171   -114.00000   -10.39231
  P6(A5)    ec:rb4   ed:sa2  172   -96.00000   -0.00000
  P6(A4)    ec:rb5   ed:sa2  173   -102.00000   -10.39231
  P6(A3)    ec:rb6   ed:sa2  174   -108.00000   -20.78461
  P6(A2)    ec:rb7   ed:sa2  175   -84.00000   -0.00000
  P6(A1)    ec:rb8   ed:sa2  176   -90.00000   -10.39231
  P6(B8)    ed:ra1   ed:sa3  177   -96.00000   -20.78461
  P6(B7)    ed:ra2   ed:sa3  178   -102.00000   -31.17692
  P6(B6)    ed:ra3   ed:sa3  179   -72.00000   -0.00000
  P6(B5)    ed:ra4   ed:sa3  180   -78.00000   -10.39231
  P6(B4)    ed:ra5   ed:sa3  181   -84.00000   -20.78461
  P6(B3)    ed:ra6   ed:sa3  182   -90.00000   -31.17692
