# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2012-10-31.66	1637+574	085-12	8.72	1.0	0.002	0.0154 103	36.2	1.1	-2.30	40 35	16.6 57	-73.6	-4.7 1.1	-15.8 -92.8	0.429 4.2E-3	0.464 5.9E-3	18.6 0.2
2012-10-31.67	1637+574	085-12	8.74	1.0	0.002	0.0155 103	36.4	1.1	-2.90	41 35	16.6 57	-73.9	-3.8 1.4	-15.1 -92.4	0.337 3.7E-3	0.447 6.5E-3	20.6 0.2
2012-10-31.68	1637+574	085-12	8.77	1.0	0.002	0.0150 103	36.7	1.2	-1.10	41 35	16.6 57	-74.1	-3.7 1.3	-15.0 -92.5	0.399 3.9E-3	0.453 5.8E-3	19.1 0.2
2012-10-31.69	1637+574	085-12	8.79	1.0	0.002	0.0158 103	35.8	1.2	-0.50	41 35	16.6 57	-74.4	-0.5 0.5	-12.0 -93.3	0.291 3.4E-3	0.393 6.5E-3	21.1 0.2
# Wed Oct 31 08:50:49 UTC 2012 - pointing and focus stable ! (CK)
# Wed Oct 31 09:01:13 UTC 2012 - old tau 0.1130 (MH)
# Wed Oct 31 09:21:39 UTC 2012 - old tau 0.1052 (MH)
# Wed Oct 31 09:28:32 UTC 2012 - old tau 0.1300 (MH)
# Wed Oct 31 09:40:00 UTC 2012 - old tau 0.0952 (MH)
2012-10-31.75	1334-127	085-12	9.78	1.0	0.002	0.0184 103	37.2	1.6	-1.70	154 36	13.6 -13	-20.8	1.9 5.9	4.4 -62.7	4.03 6.8E-3	4.66 8.9E-3	19.2 0.0
# Wed Oct 31 10:05:54 UTC 2012 - old tau 0.1400 (MH)
# Wed Oct 31 10:15:33 UTC 2012 - old tau 0.1099 (MH)
# Wed Oct 31 10:28:30 UTC 2012 - old tau 0.1082
# Wed Oct 31 10:29:08 UTC 2012 - Observing stopped for helium refill (MH)
# Wed Oct 31 12:42:45 UTC 2012 - ES - Filled all of the Tanks
# Wed Oct 31 13:24:00 UTC 2012 - old tau 0.18 (MH)
# Wed Oct 31 13:44:17 UTC 2012 - Tau .2 - SFM
2012-10-31.84	Mars	test	13.70	2.0	0.003	0.0429 103	37.5	2.1	-1.70	165 28	17.1 -24	-12.5	0.5 -5.1	6.6 -75.3	32.5 0.029	47.6 0.034	22.1 0.0
2012-10-31.85	Mars	test	13.86	1.0	0.006	0.0331 103	35.9	2.1	-1.70	168 28	17.1 -24	-10.5	2.0 -3.5	8.4 -74.1	37.6 0.033	50.0 0.036	21.0 0.0
2012-10-31.86	Mars	test	13.88	0.8	0.006	0.0406 103	38.1	2.1	-2.30	168 28	17.1 -24	-10.2	-0.5 -1.7	5.9 -72.3	33.0 0.048	49.1 0.048	22.4 0.0
2012-10-31.87	Mars	test	13.90	0.8	0.002	0.0471 103	38.2	2.1	-2.90	168 28	17.1 -24	-9.9	2.9 -1.6	9.4 -72.3	25.1 0.054	50.2 0.35	25.6 0.0
2012-10-31.88	Mars	test	13.92	1.0	0.002	0.0677 102	36.5	2.1	-1.10	169 28	17.1 -24	-9.6	-0.7 -4.7	5.8 -75.5	31.1 0.040	47.4 0.072	22.8 0.0
2012-10-31.89	Mars	test	13.94	0.8	0.002	0.0453 103	38.2	2.1	-0.50	169 28	17.1 -24	-9.3	0.1 -4.1	6.7 -74.9	23.3 0.044	46.0 0.045	25.5 0.0
# Wed Oct 31 14:00:29 UTC 2012 - Focus unchanged -1.7 - SFM (JS)
2012-10-31.91	A2052	test	14.21	1.8	0.012	0.0193 103	38.1	1.7	-1.70	-143 55	15.3 7	29.3	0.3 0.2	10.7 -75.9	0.0406 3.3E-3	0.0396 5.1E-3	22.0 1.6
# Wed Oct 31 14:26:57 UTC 2012 - tau 0.23
2012-10-31.95	1757-240	test	15.09	2.0	0.004	0.0360 103	37.2	1.9	-1.70	173 29	18.0 -24	-6.1	2.0 -2.2	9.1 -73.6	7.04 0.011	8.75 0.018	20.2 0.0
2012-10-31.96	1757-240	test	15.33	2.0	0.007	0.1485 100	37.8	1.7	-1.70	176 29	18.0 -24	-2.9	1.2 -3.0	8.9 -75.2	6.56 0.024	7.15 0.038	18.8 0.1
2012-10-31.97	1757-240	test	15.79	1.8	0.004	0.2712 69	38.1	1.3	-1.70	-176 29	18.0 -24	3.4	1.0 -0.3	9.6 -74.1	5.32 0.040	5.40 0.093	18.2 0.1
2012-10-31.98	1749+096	test	16.05	2.0	0.002	0.0274 103	37.4	0.9	-1.70	-160 61	17.9 10	16.5	1.6 7.3	8.4 -58.2	2.49 5.3E-3	2.61 9.1E-3	18.6 0.0
2012-10-31.99	1749+096	test	16.19	2.0	0.001	0.0436 103	37.2	0.7	-1.70	-156 61	17.9 10	19.8	5.4 10.5	13.1 -56.9	2.48 6.4E-3	2.57 0.014	18.6 0.0
2012-10-31.100	1749+096	test	16.23	2.1	0.001	0.0636 103	37.6	0.7	-1.70	-155 60	17.9 10	20.7	2.6 10.9	10.4 -57.0	2.47 9.1E-3	2.47 0.019	18.3 0.1
# Wed Oct 31 16:28:53 UTC 2012 - Looking at noise - removed plastic, pump isolators - SFM
2012-10-31.102	1749+096	test	16.43	2.0	0.004	0.0187 101	37.1	0.5	-1.70	-149 59	17.9 10	24.9	5.5 9.8	14.3 -60.8	2.41 3.8E-3	2.63 7.8E-3	19.0 0.0
# Wed Oct 31 16:29:12 UTC 2012 - Changed detector bias to 10000 - SFM
# Wed Oct 31 16:30:13 UTC 2012 - Checked laser alignment with wall - SFM
2012-10-31.103	1749+096	test	16.51	1.8	0.001	0.0661 82	38.1	0.6	-1.70	-147 59	17.9 10	26.5	0.8 8.4	10.0 -63.3	2.06 0.012	2.15 0.019	18.4 0.1
# Wed Oct 31 16:35:27 UTC 2012 - Old tau .35 - SFM
# Wed Oct 31 16:36:22 UTC 2012 - 16:29:12 log entry incorrect - changed to 8000 -SFM
2012-10-31.104	1749+096	test	16.62	1.8	0.001	0.0185 102	38.2	0.7	-1.70	-144 58	17.9 10	28.5	5.6 9.7	15.2 -63.4	2.39 3.7E-3	2.52 6.1E-3	18.7 0.0
# Wed Oct 31 16:43:25 UTC 2012 - Det bias to 12000 - SFM
2012-10-31.105	1749+096	test	16.73	2.0	0.003	0.0287 102	37.3	0.8	-1.70	-142 57	17.9 10	30.4	1.7 7.8	11.7 -66.9	2.04 4.4E-3	2.15 0.010	18.6 0.0
2012-10-31.106	1749+096	test	16.79	2.0	0.003	0.0170 102	37.2	0.8	-1.70	-140 57	17.9 10	31.4	4.0 6.9	14.2 -68.6	2.03 3.6E-3	2.16 5.4E-3	18.8 0.0
2012-10-31.107	1749+096	test	16.90	2.0	0.003	0.0197 102	37.8	0.8	-1.70	-138 56	17.9 10	33.2	5.9 9.3	16.4 -67.7	2.04 3.9E-3	2.17 7.8E-3	18.9 0.0
# Wed Oct 31 16:58:16 UTC 2012 - 10000 det bias - SFM
2012-10-31.108	1749+096	test	16.97	2.0	0.003	0.0274 103	37.4	0.6	-1.70	-136 55	17.9 10	34.3	4.3 6.7	15.0 -71.2	2.38 5.6E-3	2.44 8.7E-3	18.5 0.0
2012-10-31.109	1749+096	test	17.40	2.1	0.003	0.0491 89	37.1	0.4	-1.70	-128 52	17.9 10	40.0	4.4 5.7	15.9 -77.6	1.41 7.4E-3	1.45 0.014	18.5 0.1
2012-10-31.110	1749+096	test	17.48	1.8	0.009	0.0822 97	38.2	0.4	-1.70	-126 51	17.9 10	40.9	3.2 9.3	14.8 -75.0	1.80 0.013	1.67 0.021	17.5 0.1
2012-10-31.111	1749+096	test	17.85	2.1	0.463	0.1487 69	37.3	0.3	-1.70	-120 47	17.9 10	44.6	8.2 7.7	20.1 -80.7	1.06 0.035	1.20 0.31	49.7 1.2
#2012-10-31.112	1749+096	test	17.90	1.8	0.158	0.0969 61	38.2	0.3	-1.70	-119 46	17.9 10	45.0	27.4 -14.8	39.3 -103.7	1.25 0.020	1.78 0.17	20.9 0.3
2012-10-31.113	1749+096	test	18.32	1.9	0.164	0.0578 95	37.9	0.3	-1.70	-113 42	17.9 10	48.1	5.5 6.9	17.4 -85.9	2.04 0.013	2.18 0.022	18.7 0.1
2012-10-31.114	1749+096	test	18.40	2.0	0.164	0.0591 96	37.3	0.2	-1.70	-112 41	17.9 10	48.6	4.5 5.7	16.4 -87.7	2.11 0.015	2.11 0.018	18.0 0.1
2012-10-31.115	1749+096	test	18.50	2.0	0.164	0.0553 96	37.6	0.3	-1.70	-111 40	17.9 10	49.2	2.2 3.6	14.1 -90.6	2.02 0.012	2.10 0.020	18.3 0.1
2012-10-31.117	1749+096	test	19.08	2.1	0.798	0.2448 51	37.2	0.4	-1.70	-104 33	17.9 10	51.8	4.0 -4.9	15.5 -102.7	1.13 0.049	0.619 0.067	17.9 0.8
# Wed Oct 31 19:11:38 UTC 2012 - Add ground RC filter (before) and capped dewar (AFTER)
# Wed Oct 31 19:18:45 UTC 2012 - Remove DIODE
# Wed Oct 31 19:24:46 UTC 2012 - Remove RC filter
# Wed Oct 31 20:40:30 UTC 2012 - Disconnect shorted He3 pump themometry
#2012-10-31.125	1749+096	test	20.66	2.0	0.006	0.0208 108	37.7	0.5	-1.70	-89 15	17.9 10	54.0	-74.8 130.1	-65.7 30.4	0.938 0.050	0.0356 0.033	25.1 1.2
# Wed Oct 31 20:45:30 UTC 2012 - Removing hoses
# Wed Oct 31 20:54:02 UTC 2012 - Reconnect hoses and bias at 10000
# Wed Oct 31 21:06:38 UTC 2012 - Changed grounding
#2012-10-31.129	2251+158	test	21.12	2.0	0.003	0.0140 104	37.2	0.0	-1.70	-154 67	22.9 16	22.1	-129.1 101.0	-122.9 38.6	0.174 0.017	0.0288 5.2E-3	11.6 1.1
# Wed Oct 31 21:30:06 UTC 2012 - Last broken scans due to out of memory on client (it ran for 1 week) - restarted - SFM
# Wed Oct 31 21:39:42 UTC 2012 - Changed grounding in previous log entry meant we used new ground built by Juan - SFM
# Wed Oct 31 21:40:17 UTC 2012 - Took off cover - SFM
2012-10-31.135	2251+158	test	21.67	2.0	0.392	0.0290 81	37.6	-0.1	-1.70	-137 63	22.9 16	35.1	5.4 13.3	14.4 -58.4	1.71 6.0E-3	1.75 0.012	18.4 0.1
# Wed Oct 31 21:44:46 UTC 2012 - Old tau 1.03 - SFM
2012-10-31.136	2251+158	test	21.72	1.8	0.441	0.0770 100	38.1	0.0	-1.70	-136 63	22.9 16	35.9	7.9 10.8	17.0 -61.6	2.74 0.019	2.59 0.021	17.8 0.1
# Wed Oct 31 22:31:31 UTC 2012 - Removed hoses (window is open)
2012-10-31.137	2251+158	test	22.50	2.0	0.533	0.1369 65	37.3	0.1	-1.70	-119 56	22.9 16	46.9	15.1 0.9	25.8 -83.1	2.24 0.033	2.15 0.048	19.6 0.3
2012-10-31.138	2251+158	test	22.53	1.8	0.533	0.1243 77	38.2	0.1	-1.70	-118 55	22.9 16	47.2	16.4 0.4	27.1 -84.2	2.59 0.036	3.68 0.64	21.2 0.3
# Wed Oct 31 22:34:54 UTC 2012 - Old tau 3.1 - SFM
2012-10-31.139	2251+158	test	22.57	1.8	0.533	0.1381 73	38.1	0.1	-1.70	-118 55	22.9 16	47.6	15.4 0.1	26.1 -84.9	2.49 0.034	2.41 0.099	18.8 0.2
2012-10-31.140	2251+158	test	22.61	2.0	0.533	0.1422 65	37.0	0.0	-1.70	-117 54	22.9 16	47.9	13.7 -2.1	24.4 -87.7	2.17 0.039	2.24 0.050	19.3 0.3
# Thu Nov  1 06:14:32 UTC 2012 - ES - Both LN2 Tanks ran out.
# Thu Nov  1 06:15:04 UTC 2012 - ES - Filled Both of the LN2 Tanks to the top.
# Thu Nov  1 08:46:19 UTC 2012 - New recycling 22 hours after last one
# Thu Nov  1 13:13:42 UTC 2012 - Cap on - attached second ground cable - SFM
# Thu Nov  1 13:45:42 UTC 2012 - Before scan .3 removed one grnd cable - SFM
# Thu Nov  1 13:46:39 UTC 2012 - Before scan.5 removed all grnd - SFM
# Thu Nov  1 13:46:55 UTC 2012 - Reattached one grnd but without lug - SFM
# Thu Nov  1 13:58:59 UTC 2012 - connected ground across floor (prob. scaan before) SFM
# Thu Nov  1 14:00:16 UTC 2012 - Reattached one ground that is routed - SFM
