# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2012-04-11.111	0954+658	20.31	1.9	0.069	0.0099 100	37.2	0.7	7 61	10.0 66	-166.7	-1.3 8.7	-100.5 -173.4	0.524 1.8E-3	0.606 3.2E-3	18.4 0.1
2012-04-11.112	0954+658	20.35	1.7	0.069	0.0095 100	38.1	0.7	7 61	10.0 66	-167.7	-0.8 8.8	-100.0 -173.3	0.521 2.2E-3	0.605 3.4E-3	18.4 0.1
2012-04-11.119	0954+658	21.68	2.0	0.077	0.0095 99	37.5	0.7	-10 61	10.0 66	159.2	15.6 4.3	-78.1 -182.6	0.521 1.6E-3	0.597 3.3E-3	18.5 0.1
2012-04-11.120	0954+658	21.72	1.9	0.077	0.0103 99	37.9	0.6	-11 61	10.0 66	158.3	16.3 4.7	-77.1 -182.6	0.524 2.2E-3	0.598 4.1E-3	18.6 0.1
2012-04-11.128	0954+658	23.10	1.8	0.104	0.0136 95	37.3	0.3	-24 55	10.0 66	128.3	20.7 1.4	-58.9 -198.6	0.505 2.9E-3	0.562 4.2E-3	18.2 0.1
2012-04-12.1	0954+658	1.12	1.9	0.332	0.0127 103	38.0	0.1	-31 44	10.0 66	95.1	6.7 -3.6	-47.1 -224.4	0.530 3.7E-3	0.666 5.3E-3	19.6 0.1
2012-04-12.8	0954+658	2.29	1.9	0.085	0.0147 100	37.8	0.1	-31 37	10.0 66	79.3	-7.5 -6.6	-45.4 -236.3	0.418 3.7E-3	0.505 4.9E-3	18.7 0.2
2012-04-12.9	0954+658	2.33	1.9	0.086	0.0166 101	37.8	0.1	-31 36	10.0 66	78.8	-7.7 -7.7	-45.0 -237.6	0.402 3.5E-3	0.490 5.4E-3	18.6 0.2
# Thu Apr 12 02:58:41 UTC 2012 - tau starts to be varying a lot -> uncertain calibration
2012-04-12.14	0954+658	3.18	1.8	0.280	0.0252 89	38.4	-0.4	-29 31	10.0 66	68.2	-18.6 -9.9	-44.9 -244.0	0.363 6.1E-3	0.428 9.1E-3	18.6 0.3
2012-04-12.15	0954+658	3.22	1.7	0.280	0.0271 99	38.0	-0.3	-29 31	10.0 66	67.7	-16.0 -9.8	-41.8 -244.0	0.385 6.1E-3	0.438 9.0E-3	18.1 0.3
2012-04-12.17	SgrA	3.79	11.6	0.146	0.0155 95	132.3	-0.5	168 23	17.8 -29	-9.5	-43.7 -7.3	-45.9 -205.0	1.52 0.023	4.53 0.12	28.7 0.4
