# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
2014-04-04.24	3C84	test	10.59	1.1	0.024	0.0162 102	24.8	-7.8	0.00 0.00 -2.80	64 43	3.3 42	-74.0	5.0 -0.6	-5.7 -89.3	3.78 0.018	9.00 0.13	27.4 0.1	9.8 7.2
2014-04-04.25	3C84	test	10.62	1.1	0.024	0.0157 97	24.8	-7.8	0.00 0.00 -0.40	64 43	3.3 42	-74.2	1.7 1.2	-9.1 -87.4	7.21 0.014	9.36 0.11	19.7 0.0	20.1 -15.8
2014-04-04.26	3C84	test	10.67	1.8	0.443	0.0247 100	25.6	-7.8	0.00 0.00 -1.60	65 44	3.3 42	-74.6	3.6 -1.6	-7.5 -89.9	9.24 0.022	12.2 0.032	20.2 0.0	11.7 -22.0
2014-04-04.29	3C84	test	11.12	2.1	0.476	0.0181 102	25.5	-7.6	0.00 0.00 -1.80	66 49	3.3 42	-77.9	0.8 2.8	-9.3 -84.3	9.32 0.022	12.4 0.020	20.5 0.0	13.7 -15.8
2014-04-04.30	3C84	test	11.18	1.1	0.431	0.0165 100	25.1	-7.6	0.00 0.00 -1.80	67 49	3.3 42	-78.2	-0.4 0.6	-10.0 -83.4	9.51 0.017	11.7 0.017	20.1 0.0	7.7 -14.1
2014-04-04.31	3C84	test	11.20	1.1	0.431	0.0166 100	24.9	-7.5	0.00 0.00 -2.40	67 49	3.3 42	-78.4	-0.2 -1.2	-9.9 -85.0	7.04 0.019	11.3 0.021	22.8 0.1	13.6 -9.3
2014-04-04.32	3C84	test	11.22	1.1	0.333	0.0171 98	24.8	-7.5	0.00 0.00 -1.20	67 50	3.3 42	-78.5	-2.3 1.1	-12.1 -82.6	10.1 0.018	11.1 0.017	19.0 0.0	10.5 -16.5
2014-04-04.33	3C84	test	11.24	1.1	0.333	0.0185 98	24.8	-7.5	0.00 0.00 -3.00	67 50	3.3 42	-78.7	2.2 -2.5	-7.8 -86.0	4.06 0.020	10.7 0.024	29.0 0.1	-6.3 2.7
2014-04-04.38	3C84	test	11.58	1.1	0.480	0.0185 102	24.6	-7.3	0.00 0.00 -1.80	68 54	3.3 42	-81.2	-0.5 1.8	-12.7 -79.2	9.62 0.020	11.7 0.015	19.9 0.0	-0.9 -27.7
2014-04-04.39	3C84	test	11.60	1.1	0.480	0.0185 102	25.0	-7.2	0.00 0.00 -2.30	68 54	3.3 42	-81.4	-0.3 1.3	-12.5 -79.6	7.94 0.020	11.0 0.019	21.6 0.0	2.9 -13.4
2014-04-04.40	3C84	test	11.63	1.1	0.480	0.0237 102	24.5	-7.0	0.00 0.00 -1.30	68 54	3.3 42	-81.6	-0.9 3.1	-13.3 -77.6	9.94 0.026	11.5 0.022	19.1 0.0	11.1 -32.6
2014-04-04.41	3C84	test	11.65	1.1	0.480	0.0247 101	24.6	-7.0	0.00 0.00 -2.80	68 54	3.3 42	-81.7	0.8 -0.2	-11.7 -80.7	5.47 0.018	11.2 0.11	25.5 0.1	1.0 -4.3
2014-04-04.42	3C84	test	11.67	1.1	0.454	0.0200 102	24.4	-6.9	0.00 0.00 -0.80	68 55	3.3 42	-81.9	-0.5 3.8	-13.3 -76.5	10.0 0.021	11.4 0.017	19.6 0.0	14.5 -21.3
2014-04-04.43	3C84	test	11.69	1.1	0.454	0.0199 98	24.9	-6.8	0.00 0.00 -3.30	68 55	3.3 42	-82.1	3.2 -1.3	-9.6 -81.4	3.30 0.023	10.8 0.20	32.7 0.2	-19.5 7.8
# Fri Apr  4 11:43:42 UTC 2014 - JS starting scan 38 filtering disabled, still new down-sampling rate
2014-04-04.44	3C84	test	11.72	1.1	0.454	0.0266 98	24.8	-6.8	0.00 0.00 -0.30	68 55	3.3 42	-82.3	-2.3 5.3	-15.3 -74.6	8.36 0.031	11.6 0.030	21.1 0.1	9.0 -21.3
2014-04-04.45	3C84	test	11.77	2.1	0.545	0.0321 98	25.3	-6.3	0.00 0.00 -1.26	68 56	3.3 42	-82.8	-0.1 3.2	-13.4 -76.3	10.3 0.025	11.6 0.024	19.0 0.0	-2.3 -24.5
# Fri Apr  4 11:50:56 UTC 2014 - scan 46 Fz=-1.26 Fx=-2.00 Fy=0.00
2014-04-04.46	3C84	test	11.81	2.1	0.545	0.0248 100	25.4	-6.2	-2.00 0.00 -1.26	69 56	3.3 42	-83.1	-0.0 5.7	-13.6 -73.5	9.70 0.015	11.6 0.017	19.6 0.0	0.8 -34.6
# Fri Apr  4 11:51:49 UTC 2014 - scan 47 Fz=-1.26 Fx=+2.00 Fy=0.00
2014-04-04.47	3C84	test	11.85	2.1	0.498	0.0212 98	25.6	-6.1	2.00 0.00 -1.26	69 57	3.3 42	-83.4	1.1 1.1	-12.9 -77.7	9.40 0.021	12.2 0.032	20.4 0.0	2.7 0.4
