# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-14.55	J2007+661	7.19	1.9	0.091	0.0222 97	36.8	3.8	-4 61	20.1 66	137.0	-0.2 -7.6	-25.1 -67.1	0.205 3.8E-3	0.211 5.2E-3	17.5 0.3
2011-04-14.60	1828+487	8.01	1.9	0.092	0.0231 96	36.4	4.6	-55 58	18.5 49	81.8	7.4 -10.3	-11.8 -68.7	1.10 4.6E-3	1.17 7.5E-3	17.6 0.1
2011-04-14.64	1828+487	8.58	1.9	0.160	0.0237 97	36.7	5.2	-56 52	18.5 49	78.4	7.2 -8.0	-15.2 -73.3	1.14 5.6E-3	1.21 8.0E-3	17.6 0.1
2011-04-14.68	1828+487	9.15	1.9	0.159	0.0248 96	36.8	5.8	-55 47	18.5 49	75.4	7.9 -7.2	-17.5 -79.2	1.15 5.3E-3	1.23 8.5E-3	17.7 0.1
2011-04-14.72	1828+487	9.72	1.9	0.216	0.0226 96	36.8	6.1	-54 41	18.5 49	72.7	8.6 -5.8	-19.8 -84.1	1.15 5.6E-3	1.27 7.9E-3	17.8 0.1
# 12:15pm cycled.  During cycling noticed strange temperature readings AND sync fault on crate.  Power-cycled crate
2011-04-14.88	Mars	13.08	1.9	0.351	0.0317 97	36.7	6.8	-139 48	0.6 3	9.5	16.9 3.8	-9.1 -51.5	33.0 0.027	45.7 0.031	20.3 0.0
2011-04-14.89	Mars	13.16	1.9	0.344	0.0307 97	36.7	6.8	-137 48	0.6 3	10.1	16.4 2.4	-9.7 -53.9	30.2 0.026	45.8 0.030	21.2 0.0
2011-04-14.90	Mars	13.23	1.9	0.394	0.0309 97	36.9	6.7	-136 47	0.6 3	10.5	15.7 2.1	-10.6 -55.1	31.1 0.027	48.1 0.045	21.4 0.0
2011-04-14.91	Mars	13.38	1.9	0.379	0.0298 97	36.8	6.6	-133 46	0.6 3	11.4	15.4 1.7	-11.2 -57.2	30.1 0.023	47.4 0.033	21.6 0.0
2011-04-14.92	Mars	13.56	1.9	0.373	0.0283 97	36.8	6.6	-130 44	0.6 3	12.4	16.3 1.3	-10.8 -59.8	30.2 0.026	46.1 0.031	21.2 0.0
2011-04-14.93	Mars	13.62	1.9	0.405	0.0274 97	36.8	6.6	-129 44	0.6 3	12.8	15.9 2.1	-11.4 -59.8	27.3 0.023	47.5 0.032	22.8 0.0
2011-04-14.94	Mars	13.73	1.9	0.364	0.0264 96	36.8	6.7	-127 43	0.6 3	13.3	15.4 1.3	-12.3 -62.0	27.2 0.025	45.4 0.030	22.2 0.0
2011-04-14.95	J0048+320	13.93	1.9	0.391	0.0290 93	36.9	6.8	-89 60	0.8 32	5.0	7.8 0.9	-8.4 -48.2	0.128 6.3E-3	0.140 7.3E-3	17.1 0.8
2011-04-14.100	J0048+320	14.58	1.9	0.461	0.0232 97	36.9	7.4	-84 53	0.8 32	4.6	7.8 2.1	-13.0 -57.8	0.127 5.5E-3	0.129 5.3E-3	16.7 0.7
2011-04-14.102	J0048+320	14.66	1.9	0.395	0.0254 97	36.9	7.4	-83 52	0.8 32	4.5	23.3 5.2	2.0 -56.0	0.120 6.6E-3	0.133 8.2E-3	16.8 0.9
2011-04-14.104	J0048+320	14.75	1.9	0.495	0.0250 94	36.8	7.4	-83 51	0.8 32	4.4	-1.6 -14.2	-23.5 -76.8	0.131 7.0E-3	0.136 7.4E-3	16.5 0.9
2011-04-14.105	Mars	14.81	1.9	0.445	0.0494 83	36.8	7.4	-113 32	0.6 3	17.3	-9.2 -26.0	-41.2 -102.4	27.1 0.18	58.1 0.35	26.3 0.1
2011-04-14.106	Mars	14.86	1.7	0.482	0.0375 87	35.1	7.4	-112 31	0.6 3	-12.8	15.4 10.4	-16.8 -66.6	27.3 0.035	46.2 0.049	22.1 0.0
