# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-15.77	J2232+117	9.19	1.9	0.197	0.0156 98	37.8	4.0	179 65	22.5 12	-0.8	1.3 0.6	-12.1 -29.0	0.647 4.3E-3	0.731 5.5E-3	18.3 0.1
2011-04-15.78	J2225-050	9.24	1.9	0.170	0.0162 97	37.7	4.0	-177 48	22.4 -5	2.4	2.9 2.5	-19.6 -44.5	0.998 5.1E-3	1.18 7.4E-3	18.8 0.1
2011-04-15.79	J2258-280	9.30	1.9	0.141	0.0163 96	37.7	4.0	175 25	23.0 -28	-4.5	7.1 1.2	-27.2 -61.1	1.59 8.5E-3	1.84 7.5E-3	18.1 0.1
2011-04-15.80	J2011-158	9.37	1.9	0.182	0.0173 97	37.6	4.1	-139 26	20.2 -16	32.9	0.5 6.2	-31.4 -67.0	0.579 6.3E-3	0.632 6.0E-3	17.5 0.2
2011-04-15.81	J2148+070	9.42	1.9	0.184	0.0155 98	38.0	4.4	-153 57	21.8 7	21.3	-1.1 0.4	-15.5 -43.7	0.826 3.9E-3	0.898 5.5E-3	18.1 0.1
2011-04-15.82	J2203+318	9.49	1.9	0.179	0.0158 98	38.0	4.3	-116 79	22.1 32	57.6	-2.6 1.2	-4.7 -29.3	0.897 4.7E-3	1.04 6.6E-3	18.4 0.1
2011-04-15.83	K3-50A	9.54	1.9	0.201	0.0246 68	38.2	4.2	-83 55	20.0 34	71.8	2.0 3.3	-20.2 -60.2	2.08 0.031	4.96 0.034	24.2 0.3
2011-04-15.84	J2202+423	9.60	1.9	0.210	0.0180 87	37.7	4.3	-58 79	22.0 42	113.0	-1.2 -0.6	-16.6 -41.1	3.10 8.2E-3	4.07 0.011	18.4 0.0
2011-04-15.85	J2015+372	9.65	1.9	0.194	0.0166 98	38.0	4.4	-77 58	20.3 37	77.6	-2.5 -1.2	-24.4 -63.4	1.65 4.4E-3	1.88 7.2E-3	18.5 0.0
2011-04-15.88	J1642+689	9.83	1.9	0.170	0.0162 97	37.7	4.4	-25 32	16.7 69	68.7	-10.0 -7.4	-52.0 -91.9	0.562 4.1E-3	0.590 5.2E-3	17.3 0.1
2011-04-15.89	J1800+785	9.88	1.9	0.178	0.0165 95	37.8	4.4	-14 39	18.0 78	92.8	-8.1 -8.2	-50.5 -86.2	1.38 4.3E-3	1.46 5.6E-3	17.7 0.1
2011-04-15.90	J1824+569	9.95	1.9	0.123	0.0175 95	37.8	4.5	-42 39	18.4 57	79.8	-7.2 -4.6	-44.4 -86.3	0.759 4.6E-3	0.803 6.7E-3	17.6 0.1
2011-04-15.91	J2038+513	10.00	1.9	0.149	0.0169 96	37.9	4.5	-50 58	20.6 51	100.8	-5.1 -4.9	-32.8 -69.6	1.10 4.4E-3	1.15 5.5E-3	17.8 0.1
2011-04-15.92	J0102+584	10.08	1.9	0.153	0.0172 96	37.8	4.3	29 63	1.0 58	-132.5	-3.9 -0.4	-44.9 -44.1	1.59 4.8E-3	1.78 7.5E-3	18.2 0.1
2011-04-15.93	J0359+510	10.13	1.9	0.192	0.0181 97	38.1	4.2	51 41	4.0 51	-78.8	-1.5 -7.6	-47.8 -65.5	2.14 5.1E-3	2.45 8.5E-3	18.4 0.0
2011-04-15.94	J0319+415	10.18	1.9	0.186	0.0247 64	37.8	4.2	66 46	3.3 42	-76.2	4.8 -7.7	-39.5 -56.6	1.61 0.014	2.97 0.027	20.8 0.2
2011-04-15.95	J0418+380	10.23	1.9	0.198	0.0171 96	38.0	4.1	66 35	4.3 38	-67.3	2.6 -10.6	-43.4 -68.7	1.94 5.1E-3	2.17 6.6E-3	18.1 0.0
2011-04-15.96	J0359+510	10.28	1.9	0.181	0.0173 97	37.7	4.1	51 42	4.0 51	-80.2	-0.6 -6.9	-46.9 -63.9	2.05 4.5E-3	2.34 6.4E-3	18.5 0.0
2011-04-15.97	J0217+738	10.34	1.9	0.158	0.0169 97	37.7	4.1	15 49	2.3 74	-129.9	-4.7 -6.5	-49.4 -70.1	0.905 5.0E-3	0.932 5.7E-3	17.5 0.1
2011-04-15.98	J0102+584	10.38	1.9	0.225	0.0165 97	37.5	4.1	25 65	1.0 58	-139.9	-5.5 -1.3	-46.2 -45.4	1.67 4.6E-3	1.86 7.5E-3	18.1 0.0
2011-04-15.99	J0102+584	10.47	1.9	0.216	0.0168 97	37.6	4.0	24 65	1.0 58	-142.0	-6.3 -2.0	-46.9 -46.3	1.69 4.4E-3	1.83 7.2E-3	17.9 0.0
2011-04-15.102	Uranus	10.72	1.9	0.211	0.0496 68	37.6	4.1	178 53	0.1 0	-1.5	3.5 -2.0	-12.5 -40.8	8.53 0.038	11.0 0.047	19.3 0.1
2011-04-15.103	Uranus	10.76	1.7	0.167	0.0308 82	34.0	4.1	179 53	0.1 0	-0.8	3.7 -2.0	-12.0 -41.0	9.11 0.019	11.3 0.022	19.6 0.0
2011-04-15.104	Uranus	10.81	1.6	0.239	0.0347 81	34.0	4.0	-180 53	0.1 0	0.3	3.7 -1.6	-11.7 -40.9	8.76 0.019	10.7 0.023	19.4 0.0
2011-04-15.105	Uranus	10.84	1.7	0.200	0.0281 80	34.1	4.0	-179 53	0.1 0	1.0	3.7 -1.9	-11.4 -41.4	8.84 0.023	11.1 0.022	19.7 0.0
2011-04-15.106	Uranus	10.89	1.9	0.162	0.0267 79	37.7	4.0	-178 53	0.1 0	1.9	4.6 -3.2	-10.2 -43.0	8.41 0.015	11.0 0.020	20.2 0.0
2011-04-15.107	Uranus	10.93	1.9	0.181	0.0268 78	37.5	4.0	-177 53	0.1 0	2.7	2.5 -2.1	-12.1 -42.2	8.43 0.017	10.9 0.019	20.1 0.0
2011-04-15.108	Mars	13.30	1.9	0.273	0.0391 66	37.6	5.4	-134 47	0.6 3	35.3	2.1 0.8	-8.9 -62.1	29.8 0.042	42.6 0.059	21.1 0.0
2011-04-15.109	Mars	13.38	1.9	0.240	0.0403 62	37.9	5.4	-132 46	0.6 3	36.2	0.8 1.2	-10.7 -63.0	23.3 0.044	39.4 0.054	22.7 0.0
2011-04-15.110	Mars	13.42	1.9	0.240	0.0386 58	37.6	5.4	-132 45	0.6 3	36.7	3.0 4.0	-8.7 -60.8	27.9 0.055	40.3 0.064	20.9 0.0
2011-04-15.111	Mars	13.52	1.9	0.340	0.0454 59	37.8	5.3	-130 45	0.6 3	37.8	1.7 -1.0	-10.6 -67.6	26.3 0.069	43.1 0.085	22.0 0.1
2011-04-15.112	Mars	13.56	1.7	0.349	0.0346 64	34.2	5.3	-129 44	0.6 3	38.3	2.6 -0.4	-10.0 -67.7	25.7 0.047	43.2 0.056	22.5 0.0
2011-04-15.113	Mars	13.63	1.9	0.348	0.0321 61	37.9	5.4	-128 44	0.6 3	38.9	1.3 2.1	-11.6 -66.2	29.6 0.043	43.2 0.060	21.1 0.0
