# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2013-10-23.23	Mars	test	10.48	1.0	0.797	0.0477 59	35.4	5.6	0.80	-128 53	10.5 11	40.1	-24.5 7.8	4.7 -81.3	6.03 0.17	29.8 0.29	38.8 0.8
# Wed Oct 23 10:30:16 UTC 2013 - Note last Skydip is OLD -SFM
# Wed Oct 23 10:30:49 UTC 2013 - Done testing Skydips - future ones are real - SFM
# Wed Oct 23 10:39:09 UTC 2013 - Ignore last message - still working on Skydips - SFM
#2013-10-23.26	Mars	test	10.88	0.8	1.034	0.0488 59	38.2	6.0	2.00	-121 49	10.5 11	44.4	-8.0 5.0	22.1 -88.9	3.23 0.20	26.2 0.59	50.9 2.4
# Wed Oct 23 11:11:14 UTC 2013 - Take 2 - Done testing Skydips - future ones are real - SFM
#2013-10-23.32	Saturn	test	13.74	1.8	0.952	0.1424 50	38.1	7.0	3.20	-163 38	14.7 -14	14.4	25.3 1.4	53.6 -82.2	6.30 0.61	100 11	70.6 5.0
2013-10-23.35	K3-50A	test	14.12	2.1	0.705	0.0298 67	37.3	7.0	-2.00	75 42	20.0 34	-67.9	-24.7 -3.2	-21.4 -89.9	2.13 0.021	4.33 0.048	25.2 0.2
2013-10-23.36	K3-50A	test	14.22	1.0	0.838	0.0240 69	34.8	6.8	-2.00	76 43	20.0 34	-68.3	-23.2 -5.2	-20.5 -91.3	2.68 0.024	5.53 0.061	26.9 0.2
2013-10-23.37	K3-50A	test	14.24	0.8	0.802	0.0224 69	38.2	6.8	-2.60	76 43	20.0 34	-68.4	-21.3 -4.5	-18.8 -90.6	2.48 0.040	4.64 0.046	23.2 0.3
2013-10-23.38	K3-50A	test	14.26	1.1	0.802	0.0253 69	35.2	6.9	-3.20	76 43	20.0 34	-68.5	-21.7 -3.7	-19.0 -89.6	2.17 0.025	4.77 0.036	25.7 0.3
2013-10-23.39	K3-50A	test	14.29	1.0	0.753	0.0246 71	36.2	6.9	-1.40	76 44	20.0 34	-68.5	-25.0 -2.0	-23.0 -87.7	2.27 0.037	4.09 0.065	21.2 0.3
2013-10-23.40	K3-50A	test	14.31	1.1	0.753	0.0257 69	35.2	6.9	-0.80	76 44	20.0 34	-68.6	-24.6 -0.5	-22.5 -86.1	1.82 0.024	4.12 0.035	27.2 0.3
2013-10-23.41	K3-50A	test	14.42	1.0	0.833	0.0210 73	37.4	6.8	-1.40	77 45	20.0 34	-69.0	-24.9 -1.1	-23.8 -86.0	2.41 0.029	5.65 0.12	27.3 0.3
2013-10-23.42	K3-50A	test	14.44	1.0	0.794	0.0266 76	38.5	6.8	-2.00	77 45	20.0 34	-69.1	-23.7 -1.1	-22.2 -85.9	2.77 0.029	5.21 0.048	23.6 0.2
2013-10-23.43	K3-50A	test	14.46	1.1	0.794	0.0239 75	34.9	6.8	-2.60	77 46	20.0 34	-69.2	-22.9 -0.4	-21.6 -85.0	2.36 0.020	4.97 0.040	25.6 0.2
2013-10-23.44	K3-50A	test	14.48	1.0	0.794	0.0247 77	38.2	7.0	-0.80	78 46	20.0 34	-69.3	-24.1 1.1	-22.9 -83.3	1.99 0.025	4.41 0.057	26.7 0.3
2013-10-23.45	K3-50A	test	14.51	1.0	0.732	0.0218 80	34.8	7.0	-0.20	78 46	20.0 34	-69.4	-23.7 1.3	-22.6 -82.9	1.35 0.016	3.65 0.041	29.5 0.3
2013-10-23.46	K3-50A	test	14.55	1.1	0.732	0.0228 80	34.3	7.2	-2.50	78 47	20.0 34	-69.6	-23.6 -0.4	-22.8 -84.3	2.37 0.020	4.78 0.038	24.9 0.2
2013-10-23.47	K3-50A	test	14.58	1.0	0.759	0.0220 81	34.8	7.2	-3.10	78 47	20.0 34	-69.6	-21.5 -0.0	-20.9 -83.8	2.06 0.018	4.96 0.027	27.3 0.2
2013-10-23.48	K3-50A	test	14.60	1.0	0.759	0.0252 78	36.4	7.3	-3.70	78 47	20.0 34	-69.7	-16.0 -3.2	-15.5 -86.8	1.36 0.028	3.82 0.038	29.2 0.5
2013-10-23.49	K3-50A	test	14.62	1.0	0.759	0.0244 81	36.3	7.4	-1.90	78 48	20.0 34	-69.8	-23.4 2.3	-23.0 -81.1	2.64 0.029	4.83 0.036	23.1 0.2
2013-10-23.50	K3-50A	test	14.65	0.8	0.742	0.0223 81	38.3	7.4	-1.30	79 48	20.0 34	-69.9	-22.5 1.9	-22.3 -81.3	2.09 0.025	4.24 0.034	24.5 0.3
2013-10-23.51	K3-50A	test	14.78	1.0	0.798	0.0226 80	35.7	7.7	-1.80	79 49	20.0 34	-70.3	-23.0 4.4	-23.9 -77.7	2.70 0.029	5.12 0.035	23.8 0.2
2013-10-23.52	K3-50A	test	14.80	0.8	0.752	0.0236 81	38.0	7.7	-2.40	80 50	20.0 34	-70.4	-22.8 4.4	-23.5 -77.6	2.30 0.031	4.87 0.044	24.6 0.3
2013-10-23.53	K3-50A	test	14.82	0.8	0.752	0.0204 81	38.0	7.7	-3.00	80 50	20.0 34	-70.5	-21.1 3.7	-21.9 -78.1	1.82 0.023	4.54 0.030	27.4 0.3
2013-10-23.54	K3-50A	test	14.85	1.1	0.752	0.0244 76	34.3	7.6	-1.20	80 50	20.0 34	-70.6	-24.2 5.5	-25.2 -76.1	2.24 0.021	5.10 0.031	26.2 0.2
2013-10-23.55	K3-50A	test	14.87	1.0	0.768	0.0209 80	35.9	7.6	-0.60	80 51	20.0 34	-70.6	-24.9 7.0	-26.0 -74.4	1.93 0.020	4.43 0.034	26.9 0.2
2013-10-23.56	K3-50A	test	15.03	0.8	0.762	0.0258 78	38.2	7.7	-1.80	81 52	20.0 34	-71.1	-23.8 6.7	-25.8 -73.3	2.19 0.028	5.00 0.048	25.6 0.3
2013-10-23.57	K3-50A	test	15.05	1.1	0.780	0.0227 82	35.3	7.7	-2.40	81 53	20.0 34	-71.2	-21.3 5.9	-23.2 -74.0	2.19 0.018	4.82 0.028	25.8 0.2
2013-10-23.58	K3-50A	test	15.07	1.0	0.780	0.0224 82	36.0	7.7	-3.00	81 53	20.0 34	-71.3	-20.9 5.2	-23.0 -74.4	1.95 0.027	4.66 0.029	26.8 0.3
2013-10-23.59	K3-50A	test	15.10	0.8	0.780	0.0203 82	38.0	7.6	-1.20	82 53	20.0 34	-71.3	-23.6 7.9	-26.1 -71.5	2.13 0.024	4.55 0.033	25.1 0.2
2013-10-23.60	K3-50A	test	15.12	1.0	0.780	0.0239 81	36.7	7.4	-0.60	82 53	20.0 34	-71.4	-24.7 8.6	-27.6 -70.5	1.72 0.026	4.27 0.039	27.7 0.4
# Wed Oct 23 15:25:06 UTC 2013 - Last scan was Tip, not TipCurrentAzimuth, which confused backend - SFM
# Wed Oct 23 15:52:33 UTC 2013 - Changing CRUSH skydip elevation range to 35-60 in gismo/default.cfg - SFM
2013-10-23.66	2200+420	test	16.13	2.1	0.556	0.0177 69	37.3	6.4	-0.60	64 44	22.0 42	-75.7	-22.6 1.2	-21.6 -88.7	1.08 4.4E-3	2.26 0.010	26.0 0.1
2013-10-23.67	2200+420	test	16.19	1.0	0.556	0.0153 70	38.5	6.3	-2.00	64 45	22.0 42	-76.1	-22.0 -2.5	-21.4 -92.0	1.59 9.5E-3	2.57 0.016	22.0 0.1
2013-10-23.68	2200+420	test	16.21	0.8	0.780	0.0156 71	38.3	6.3	-2.60	64 45	22.0 42	-76.3	-21.0 -1.7	-20.4 -91.1	1.70 0.014	2.98 0.023	22.5 0.2
2013-10-23.69	2200+420	test	16.23	1.1	0.780	0.0164 71	34.6	6.2	-3.20	64 46	22.0 42	-76.5	-18.5 -2.0	-18.2 -91.2	1.35 9.0E-3	2.90 0.018	25.3 0.1
2013-10-23.70	2200+420	test	16.26	1.1	0.901	0.0141 70	36.5	6.2	-1.40	64 46	22.0 42	-76.7	-22.5 -1.0	-22.3 -90.1	1.77 7.6E-3	3.12 0.013	22.9 0.1
2013-10-23.71	2200+420	test	16.28	1.1	0.901	0.0153 71	36.7	6.2	-0.80	64 46	22.0 42	-76.8	-22.9 1.0	-22.9 -88.0	1.43 6.6E-3	2.92 0.038	25.3 0.1
#2013-10-23.73	2200+420	test	16.47	1.0	0.860	0.0561 70	1.3	6.3	-2.00	65 48	22.0 42	-78.3	1.5 -46.6	9.8 -137.2	0.392 0.032	0.0825 0.016	13.4 1.1
2013-10-23.74	2200+420	test	16.71	3.3	0.875	0.0209 77	26.4	6.0	-2.00	66 51	22.0 42	-80.3	-21.2 5.3	-23.7 -80.8	3.06 8.4E-3	2.80 0.023	17.7 0.0
2013-10-23.75	2200+420	test	16.79	1.3	0.820	0.0113 80	77.0	6.0	-2.00	66 52	22.0 42	-80.8	-21.1 4.7	-24.2 -80.9	2.37 8.3E-3	3.23 0.023	20.4 0.1
2013-10-23.76	2200+420	test	16.97	2.1	0.708	0.0171 75	37.3	5.7	-2.00	67 54	22.0 42	-82.2	-21.3 5.4	-25.5 -78.9	1.34 6.1E-3	2.62 9.9E-3	24.9 0.1
2013-10-23.77	2200+420	test	17.03	2.1	0.835	0.0196 74	37.2	5.6	-2.00	67 54	22.0 42	-82.7	-20.1 3.1	-24.8 -80.7	1.57 6.5E-3	3.01 0.012	24.3 0.1
2013-10-23.78	2200+420	test	17.08	2.0	0.835	0.0185 74	36.4	5.5	-2.00	67 55	22.0 42	-83.1	-20.4 1.9	-25.4 -81.6	1.57 6.3E-3	2.86 0.011	23.9 0.1
2013-10-23.79	2200+420	test	17.15	2.1	0.854	0.0180 75	36.8	5.4	-2.00	67 56	22.0 42	-83.7	-20.1 0.1	-25.4 -82.7	1.60 5.9E-3	2.99 0.012	24.1 0.1
2013-10-23.80	2200+420	test	17.23	1.8	0.951	0.0168 74	38.1	5.4	-2.00	67 56	22.0 42	-84.3	-17.1 3.8	-23.0 -78.4	1.58 6.2E-3	3.30 0.012	25.2 0.1
2013-10-23.81	2200+420	test	17.27	2.0	0.926	0.0192 73	37.2	5.3	-2.00	67 57	22.0 42	-84.7	-20.8 4.5	-27.0 -77.3	1.60 7.9E-3	2.96 0.013	23.9 0.1
2013-10-23.82	2200+420	test	17.32	2.0	0.926	0.0210 70	37.1	5.2	-2.00	67 58	22.0 42	-85.1	-23.4 3.8	-29.9 -77.6	1.62 7.8E-3	2.91 0.014	23.4 0.1
2013-10-23.83	2200+420	test	17.37	2.1	0.919	0.0185 75	36.8	5.1	-2.00	67 58	22.0 42	-85.6	-27.9 5.1	-34.7 -75.9	1.15 7.1E-3	2.67 0.013	26.9 0.1
2013-10-23.84	2200+420	test	17.44	2.0	0.902	0.0160 88	38.0	5.0	-2.00	68 59	22.0 42	-86.2	-20.6 5.6	-27.9 -74.8	1.64 5.0E-3	3.16 9.2E-3	24.4 0.1
2013-10-23.85	2200+420	test	17.49	2.0	0.858	0.0166 90	36.6	5.0	-2.00	68 59	22.0 42	-86.7	-22.9 2.1	-30.4 -77.9	1.77 4.6E-3	3.39 0.011	24.6 0.1
2013-10-23.86	2200+420	test	17.78	3.2	0.857	0.0370 87	26.4	4.8	-2.00	68 63	22.0 42	-89.5	-21.3 10.4	-30.4 -67.0	3.14 9.1E-3	3.47 0.029	19.3 0.1
2013-10-23.87	2200+420	test	17.85	1.3	0.857	0.0125 90	78.7	4.8	-2.00	68 63	22.0 42	-90.1	-19.1 8.2	-29.0 -68.5	2.39 1.0E-2	3.09 0.019	19.9 0.1
2013-10-23.88	2200+420	test	17.91	3.1	0.879	0.0194 90	26.4	4.8	-2.00	68 64	22.0 42	-91.0	-19.6 8.8	-29.8 -67.3	3.05 7.9E-3	3.50 0.029	19.0 0.0
2013-10-23.91	2200+420	test	18.31	2.0	0.901	0.0113 90	66.1	4.6	-2.00	67 69	22.0 42	-95.8	-18.7 9.2	-31.4 -63.1	2.85 6.9E-3	3.41 0.022	18.8 0.0
2013-10-23.96	K3-50A	test	18.75	1.8	1.103	0.0185 90	38.1	4.6	-2.00	-111 81	20.0 34	63.8	-16.2 13.4	4.5 -56.1	2.45 0.012	6.11 0.019	28.0 0.1
2013-10-23.99	K3-50A	test	19.35	2.1	0.930	0.0182 85	37.4	4.6	-2.00	-97 74	20.0 34	71.9	-14.5 9.3	6.9 -72.9	2.28 9.3E-3	5.51 0.024	27.7 0.1
2013-10-23.100	K3-50A	test	19.42	3.3	1.009	0.0202 84	26.4	4.6	-2.00	-96 74	20.0 34	72.6	-16.4 11.5	5.1 -71.8	4.16 7.4E-3	7.52 0.091	23.7 0.0
2013-10-23.101	K3-50A	test	19.51	0.7	0.904	0.0311 79	13.2	4.6	-2.00	-95 73	20.0 34	72.6	-15.8 12.0	5.6 -72.8	2.66 0.021	2.57 0.048	15.2 0.1
2013-10-23.102	K3-50A	test	19.53	0.5	0.904	0.0294 79	13.2	4.5	-2.00	-95 72	20.0 34	72.7	-14.3 11.5	7.0 -73.6	2.93 0.023	2.70 0.053	14.5 0.1
2013-10-23.103	K3-50A	test	19.90	1.8	0.968	0.0203 74	38.1	4.5	-2.00	-91 68	20.0 34	73.3	-16.0 6.9	6.3 -83.8	1.94 0.012	4.53 0.023	27.1 0.1
2013-10-23.111	2200+420	test	20.69	2.1	1.071	0.0122 81	37.3	4.6	-2.00	-49 82	22.0 42	125.1	-14.3 10.4	-9.5 -73.8	2.64 3.7E-3	3.00 7.1E-3	19.1 0.0
2013-10-23.112	2200+420	test	20.75	0.8	1.058	0.0105 79	37.9	4.6	-2.00	-51 81	22.0 42	122.5	-14.5 10.1	-8.7 -74.6	2.73 4.4E-3	3.02 8.6E-3	19.0 0.0
2013-10-23.113	2200+420	test	20.77	0.8	1.058	0.0103 82	38.3	4.6	-2.60	-52 81	22.0 42	121.5	-14.8 8.9	-8.6 -75.9	2.51 5.6E-3	2.98 0.012	19.5 0.0
2013-10-23.114	2200+420	test	20.79	0.9	0.871	0.0124 78	37.8	4.6	-3.20	-53 81	22.0 42	120.5	-13.9 6.8	-7.4 -78.2	1.80 6.0E-3	2.65 0.011	21.6 0.1
2013-10-23.115	2200+420	test	20.81	1.0	0.871	0.0104 89	37.0	4.6	-1.40	-53 80	22.0 42	119.6	-15.1 10.7	-8.1 -74.5	2.19 4.7E-3	2.69 8.2E-3	20.0 0.0
2013-10-23.116	2200+420	test	20.83	0.8	0.871	0.0103 79	38.2	4.6	-0.80	-54 80	22.0 42	118.7	-14.3 11.7	-7.1 -73.6	1.69 4.2E-3	2.57 0.011	22.3 0.0
2013-10-23.117	NGC7027	test	20.94	2.0	0.963	0.0132 69	37.6	4.7	-2.00	-67 69	21.1 42	95.5	-18.2 10.5	-2.3 -84.7	2.23 4.3E-3	2.52 7.4E-3	19.4 0.0
2013-10-23.118	NGC7027	test	21.07	1.8	1.029	0.0131 66	38.1	4.7	-2.00	-68 68	21.1 42	93.9	-0.6 -0.5	-2.3 -86.5	2.35 4.4E-3	2.68 7.3E-3	19.1 0.0
2013-10-23.119	K3-50A	test	21.16	2.0	0.922	0.0187 56	37.2	4.7	-2.00	-81 53	20.0 34	71.2	-1.0 -2.8	4.4 -97.7	2.75 8.2E-3	3.87 0.034	20.9 0.1
2013-10-23.120	K3-50A	test	21.23	1.8	1.001	0.0171 50	38.1	4.7	-2.00	-81 52	20.0 34	71.0	-0.0 -0.6	4.4 -98.9	0.237 8.6E-4	0.327 2.4E-3	20.9 0.1
2013-10-23.121	2251+158	test	21.35	2.0	1.662	0.0148 62	37.8	4.8	-2.00	-165 69	22.9 16	12.8	1.3 1.2	3.3 -56.1	6.08 0.013	7.94 0.015	18.6 0.0
2013-10-23.122	2251+158	test	21.43	1.8	1.008	0.0140 67	38.1	4.9	-2.00	-162 68	22.9 16	15.4	0.7 0.2	4.6 -57.2	5.51 5.6E-3	6.13 7.8E-3	18.8 0.0
2013-10-23.123	0316+413	test	21.58	1.8	0.773	0.0145 69	38.1	4.9	-2.00	66 46	3.3 42	-76.3	-1.9 -2.9	-20.3 -83.0	0.758 1.1E-3	0.779 4.6E-3	18.1 0.0
2013-10-23.125	W3OH	test	21.91	2.0	0.956	0.0184 46	37.2	5.0	-2.00	32 55	2.5 62	-117.7	0.7 0.2	-24.4 -90.1	0.0921 4.5E-4	0.113 4.6E-4	19.6 0.1
2013-10-23.128	NGC7538	test	22.32	2.1	0.837	0.0328 48	37.4	5.1	-2.00	-17 64	23.2 61	151.1	0.4 -0.8	-18.4 -96.9	0.0753 4.4E-4	0.0946 8.7E-4	19.9 0.1
2013-10-23.129	NGC7538	test	22.39	1.9	0.895	0.0240 48	38.1	5.2	-2.00	-17 63	23.2 61	149.4	-0.4 0.4	-18.4 -96.9	0.0899 6.6E-4	0.123 8.2E-4	20.7 0.1
2013-10-23.131	0133+476	test	22.77	2.0	0.953	0.0210 48	37.7	5.0	-2.00	39 75	1.6 48	-132.5	2.4 6.4	-33.9 -64.9	0.0619 3.1E-4	0.0672 5.7E-4	17.9 0.1
2013-10-23.132	0133+476	test	22.83	1.8	0.976	0.0163 47	38.2	5.0	-2.00	37 76	1.6 48	-135.0	-0.3 0.0	-34.3 -65.0	0.169 7.2E-4	0.196 1.5E-3	18.4 0.1
2013-10-23.134	Jupiter	test	0.04	2.0	1.043	0.0043 75	37.0	5.5	-2.00	77 19	7.4 22	-56.8	-5.1 -19.0	-6.8 -94.2	0.0969 5.0E-3	0.200 4.9E-3	26.6 1.2
2013-10-24.3	Jupiter	test	0.15	1.0	1.001	0.0051 84	36.7	5.4	-2.60	77 20	7.4 22	-57.1	-3.1 -15.8	-5.1 -91.5	0.109 4.8E-3	0.202 6.1E-3	24.8 1.0
2013-10-24.4	Jupiter	test	0.17	1.0	1.001	0.0049 46	35.5	5.4	-3.20	78 21	7.4 22	-57.1	1.2 -20.8	-1.2 -95.9	0.143 5.1E-3	0.308 0.010	28.7 0.9
2013-10-24.5	Jupiter	test	0.19	1.0	1.024	0.0056 71	35.9	5.4	-1.40	78 21	7.4 22	-57.2	0.0 -15.2	-1.6 -90.9	0.0806 6.7E-3	0.152 0.048	26.9 1.9
2013-10-24.6	Jupiter	test	0.21	0.8	1.024	0.0048 81	38.2	5.4	-0.80	78 21	7.4 22	-57.3	-1.2 -13.3	-4.1 -89.0	0.0787 4.1E-3	0.202 0.011	29.5 1.3
2013-10-24.7	Jupiter	test	0.27	2.0	0.837	0.0041 77	37.2	5.3	-2.10	78 22	7.4 22	-57.4	-3.3 -20.3	-6.0 -95.8	0.100 3.6E-3	0.234 4.1E-3	28.2 0.8
#2013-10-24.12	NGC1569	test	1.16	2.8	0.934	0.0121 62	66.1	5.7	-2.10	18 59	4.5 65	-145.5	331.4 -152.5	303.6 -237.4	0.198 4.4E-3	0.548 0.057	43.1 0.7
#2013-10-24.22	NGC1569	test	2.57	2.6	1.372	0.0096 67	33.4	5.4	-2.10	0 62	4.5 65	178.7	239.5 228.9	215.4 134.4	0.414 0.018	0.305 0.12	22.4 0.9
#2013-10-24.39	NGC1569	test	4.69	2.7	1.243	0.0153 51	19.5	4.7	-2.10	-24 56	4.5 65	129.5	251.6 212.8	227.9 102.3	0.597 0.035	0.129 0.031	21.3 1.1
#2013-10-24.41	NGC1569	test	4.96	2.9	1.062	0.0102 57	55.8	4.7	-2.10	-26 55	4.5 65	124.8	-234.5 -294.4	-239.6 -389.7	0.0652 5.4E-3	0.184 0.080	82.9 5.0
#2013-10-24.45	NGC1569	test	5.41	2.9	1.144	0.0064 68	49.3	4.6	-2.10	-28 53	4.5 65	116.1	355.1 -294.0	341.0 -389.2	0.0670 6.3E-3	0.0373 0.016	16.7 1.6
2013-10-24.60	Mars	test	7.41	1.5	1.016	0.0781 51	4.4	5.5	-2.00	145 60	10.5 11	-27.2	-17.2 -3.3	-7.5 -67.3	13.0 0.44	8.43 0.27	10.1 0.3
2013-10-24.62	Mars	test	7.63	1.7	0.983	0.0597 62	4.4	5.8	-2.00	151 61	10.5 11	-22.6	-15.1 3.9	-3.1 -59.3	18.8 0.38	12.0 0.12	13.0 0.3
2013-10-24.63	Mars	test	7.67	1.8	0.860	0.0497 60	4.4	5.8	-2.00	152 61	10.5 11	-21.7	-12.8 0.3	-1.2 -62.5	16.1 0.40	10.7 0.13	9.8 0.2
2013-10-24.64	Mars	test	8.38	1.8	0.976	0.1120 67	4.4	6.2	-2.00	175 64	10.5 11	-4.0	-19.7 1.9	-1.5 -62.0	17.6 0.27	22.7 0.16	15.9 0.2
2013-10-24.65	1253-055	test	11.03	1.8	0.806	0.0219 60	38.1	7.2	-2.00	-179 47	12.9 -6	1.4	-23.2 -2.6	1.0 -78.9	5.71 8.0E-3	6.66 0.027	19.4 0.0
2013-10-24.66	1253-055	test	11.14	0.8	0.786	0.0190 66	38.1	7.4	2.00	-176 47	12.9 -6	3.0	5.9 11.6	7.6 -68.3	0.672 0.016	3.98 0.039	43.3 0.8
2013-10-24.67	1253-055	test	11.16	1.1	0.803	0.0204 66	36.6	7.5	1.40	-176 47	12.9 -6	3.4	3.0 9.3	4.7 -70.6	1.02 0.012	5.44 0.034	40.4 0.4
2013-10-24.68	1253-055	test	11.18	1.0	0.803	0.0206 66	37.5	7.5	0.80	-175 47	12.9 -6	3.8	0.7 3.6	2.5 -76.4	2.43 0.013	6.89 0.031	30.0 0.1
#2013-10-24.69	1253-055	test	11.20	0.8	0.803	0.0312 58	38.1	7.6	2.60	-175 47	12.9 -6	4.2	-26.9 -3.2	-25.0 -84.9	0.274 0.019	2.13 0.10	43.2 2.3
2013-10-24.71	1253-055	test	11.34	0.8	0.790	0.0063 55	38.2	7.9	-2.00	-172 47	12.9 -6	6.6	5.9 8.6	6.1 -72.2	0.0159 1.6E-3	0.0756 0.018	27.7 2.3
#2013-10-24.72	1253-055	test	11.36	1.0	0.766	0.0057 55	37.5	7.9	-2.60	-172 47	12.9 -6	6.9	69.2 62.0	64.7 -26.5	0.0258 2.0E-3	7.01E-3 9.1E-3	11.0 0.9
2013-10-24.79	K3-50A	test	14.65	1.8	0.669	0.0256 69	38.2	8.1	-2.00	79 49	20.0 34	-70.2	-21.1 0.8	-21.6 -81.9	3.26 0.012	6.31 0.11	25.0 0.1
2013-10-24.80	K3-50A	test	14.72	0.8	0.669	0.0160 77	38.2	8.1	-2.00	79 50	20.0 34	-70.4	1.3 -0.6	-20.3 -81.7	3.75 0.013	4.94 0.033	23.1 0.1
2013-10-24.81	K3-50A	test	14.75	0.8	0.795	0.0177 80	38.2	8.1	-2.60	80 50	20.0 34	-70.4	-0.0 0.7	-21.8 -80.2	3.76 0.013	5.14 0.028	21.3 0.1
2013-10-24.82	K3-50A	test	14.77	0.8	0.795	0.0176 77	38.2	8.2	-3.20	80 50	20.0 34	-70.5	1.9 -2.2	-20.0 -82.9	3.09 0.012	4.90 0.035	22.6 0.1
2013-10-24.83	K3-50A	test	14.79	1.1	0.795	0.0197 77	36.1	8.3	-1.40	80 50	20.0 34	-70.6	-1.5 2.1	-23.7 -78.5	3.37 0.014	7.00 0.11	25.8 0.1
2013-10-24.84	K3-50A	test	14.81	1.0	0.770	0.0184 77	37.4	8.3	-0.80	80 51	20.0 34	-70.7	-0.3 3.2	-22.5 -77.1	2.69 0.016	6.19 0.15	24.2 0.1
2013-10-24.85	K3-50A	test	14.85	1.0	0.770	0.0167 84	37.5	8.2	-2.50	80 51	20.0 34	-70.8	0.6 -2.5	-21.8 -82.5	3.90 0.011	5.40 0.025	24.0 0.1
2013-10-24.86	K3-50A	test	14.87	0.8	0.770	0.0151 85	38.0	8.3	-3.10	80 51	20.0 34	-70.9	2.0 -1.5	-20.5 -81.3	3.34 0.013	5.06 0.023	22.2 0.1
2013-10-24.87	K3-50A	test	14.90	0.8	0.731	0.0182 86	37.9	8.3	-3.70	81 52	20.0 34	-70.9	2.7 -0.5	-20.0 -80.1	2.17 0.012	4.41 0.025	25.6 0.1
2013-10-24.88	K3-50A	test	14.92	0.8	0.731	0.0189 84	38.1	8.4	-1.90	81 52	20.0 34	-71.0	0.6 3.0	-22.2 -76.4	3.79 0.015	5.09 0.025	20.8 0.1
