# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
# Tue Apr 17 22:51:28 UTC 2012 - Still noisy... scan #33 with bias=10000.  (DjB)
2012-04-17.34	0851+202	test	22.95	0.8	0.113	0.0181 103	38.4	-1.8	-1.90	-95 41	8.9 20	57.8	1.2 -0.5	14.0 -92.4	3.65 8.2E-3	3.97 0.011	19.0 0.0
2012-04-17.35	0814+425	test	23.00	1.0	0.097	1.3257 53	36.1	-1.7	-1.90	-63 42	8.3 42	74.0	--- ---	--- ---	--- ---	--- ---	--- ---
# Tue Apr 17 23:12:28 UTC 2012 - Still noisy.  Relocked and retuned and reset.  #36 should be cleaner!  (DjB)
2012-04-17.36	0814+425	test	23.21	0.8	0.087	0.0144 104	38.4	-1.1	-1.90	-62 40	8.3 42	72.4	2.4 0.6	9.5 -101.5	0.398 4.0E-3	0.435 8.8E-3	19.0 0.2
# Tue Apr 17 23:15:40 UTC 2012 - Scan #37 will have bias of 8000.  (DjB)
2012-04-17.38	4C+55.16	233-11	23.32	2.0	0.104	0.0167 100	37.2	-1.3	-1.90	-45 44	8.6 56	85.6	-0.0 -1.2	3.2 -102.5	0.0643 2.6E-3	0.0694 4.9E-3	19.7 0.8
# Tue Apr 17 23:27:27 UTC 2012 - Bias 10000 at 39.  (DjB)
2012-04-17.39	1418+546	test	23.43	1.0	0.095	0.0175 100	37.4	-1.4	-1.90	33 68	14.3 54	-132.8	-7.9 1.0	-27.6 -67.1	0.201 4.9E-3	0.196 4.6E-3	17.7 0.4
2012-04-18.5	1637+574	test	0.99	1.0	0.115	0.0175 98	36.0	-3.0	-1.90	36 61	16.6 57	-120.7	-3.4 1.1	-21.6 -69.3	0.462 3.8E-3	0.448 5.5E-3	18.0 0.1
2012-04-18.9	1641+399	test	1.60	1.0	0.126	0.0169 97	37.5	-3.2	-1.90	74 71	16.7 40	-90.9	-7.1 -1.6	-28.1 -47.0	1.88 6.1E-3	2.06 8.7E-3	18.8 0.1
2012-04-18.11	A2270	233-11	1.70	1.9	0.107	0.0173 98	37.6	-3.5	-1.90	40 61	17.5 55	-115.3	-3.5 -0.8	-22.2 -68.3	0.0519 2.6E-3	0.0441 2.3E-3	16.1 0.8
2012-04-18.14	1144+402	test	2.08	1.0	0.142	0.0155 99	35.9	-3.2	-1.90	-68 46	11.8 40	74.4	1.0 -4.1	9.7 -97.1	0.668 3.8E-3	0.646 5.8E-3	18.1 0.1
2012-04-18.15	1156+295	test	2.11	1.0	0.142	0.0151 99	36.3	-3.2	-1.90	-83 44	12.0 29	65.1	2.4 -3.8	13.9 -94.2	0.581 3.5E-3	0.567 7.1E-3	18.2 0.1
2012-04-18.16	1226+023	test	2.15	0.8	0.190	0.0143 102	38.2	-3.1	-1.90	-117 34	12.5 2	45.5	-1.6 0.2	11.3 -84.9	4.26 5.3E-3	4.70 8.8E-3	19.3 0.0
2012-04-18.17	1253-055	test	2.21	0.8	0.134	0.0260 65	38.1	-3.2	-1.90	-128 32	12.9 -6	39.1	-8.7 -1.9	3.9 -83.2	1.11 0.020	7.32 0.20	31.6 0.5
# Wed Apr 18 02:14:05 UTC 2012 - Focus: 17/18/19 at -1.9/-2.4/-1.4.  (DjB)
#2012-04-18.18	1253-055	test	2.23	0.9	0.134	0.0306 70	36.0	-3.2	-2.40	-128 32	12.9 -6	39.3	-12.2 -2.7	0.4 -84.3	1.31 0.026	8.56 0.20	30.0 0.5
