#	LABOCA / ABBA
#	Full set of channels - 20070509 (new array)
#--------------------------------------------------
#
#columns:
#1=backend channel	[1-320]
#2=box number	[1-4]
#3=group	[0-12]
#4=amplifier	[1-5]
#5=board	[A-P]
#6=cable	[A-M]
#7=pin number	[0-26]
#8=bolometer number in the array	[0-295]
#9=channel state	[B/R/N]
#10=comment
#
#NOTE: 0 means not bolometer/not connected
#
#
#BEch	box	group	amp	board	cable	pin	bolo	state	comment
#-----------------------------------------------------------------------------------------------
302	4	10	5	E	F	1	0	R	1MOhm, not connected
303	4	11	3	G	E	13	110	B	
304	4	0	5	F	0	0	0	N	ampl. not connected
305	4	10	3	F	F	26	148	B	
306	4	0	4	F	0	0	0	N	ampl. not connected
307	4	11	2	G	E	14	114	B	
308	4	11	2	H	E	17	113	B	
309	4	11	3	H	E	16	120	B	
310	4	10	2	E	F	24	147	R	1MOhm, broken membrane
311	4	10	4	D	F	4	0	R	1MOhm, not connected
312	4	11	1	H	E	18	115	B	
313	4	11	4	G	E	10	111	B	
314	4	11	1	G	E	15	116	B	
315	4	11	1	F	E	12	112	B	
316	4	11	2	F	E	11	109	B	
317	4	10	1	E	F	25	145	R	1MOhm, broken membrane
318	4	10	5	D	F	3	126	B	
319	4	10	5	A	F	9	130	B	
320	4	10	4	A	F	10	134	B	
