# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
2015-03-01.9	1055+018	232-14	0.88	1.0	0.130	0.0295 97	25.6	-0.5	0.00 0.00 -0.60	-174 54	11.0 2	5.0	0.0 6.2	8.7 -56.3	2.36 0.018	2.97 0.018	17.1 0.1	-4.4 2.1
2015-03-01.28	1055+018	232-14	3.69	2.0	0.216	0.0322 97	25.3	0.6	0.00 0.00 -1.65	-119 35	11.0 2	44.3	-4.0 -3.0	14.3 -86.4	3.68 0.017	3.82 0.012	16.0 0.1	-2.9 -0.9
2015-03-01.40	1156+295	223-14	5.37	2.1	0.536	0.0265 104	25.2	-0.4	0.00 0.00 -1.65	-83 43	12.0 29	65.0	-1.1 -4.8	13.0 -97.8	1.68 0.010	1.66 8.1E-3	16.1 0.1	-1.1 1.2
# Sun Mar  1 05:26:12 UTC 2015 - Tony: from 4:13 UTC until 5:15 (2 scans ago) the detectors were anomalously warm.  This happened during the LN2 refill.
2015-03-01.58	3C286	223-14	7.02	2.0	0.262	0.0260 103	25.3	0.1	0.00 0.00 -1.65	-80 42	13.5 31	65.7	-0.4 -0.0	13.1 -98.9	0.400 4.7E-3	0.411 8.2E-3	17.6 0.2	-0.3 1.7
2015-03-01.59	3C286	223-14	7.08	1.1	0.262	0.0219 103	24.7	-0.4	0.00 0.00 -1.65	-80 42	13.5 31	65.6	-0.7 0.2	12.1 -98.9	0.366 5.3E-3	0.344 7.0E-3	16.5 0.2	1.6 -0.5
2015-03-01.60	3C286	223-14	7.10	1.1	0.262	0.0217 103	24.8	-0.8	0.00 0.00 -2.25	-80 41	13.5 31	65.5	0.9 0.2	12.7 -99.1	0.340 4.7E-3	0.330 5.5E-3	16.6 0.2	3.5 3.5
##2015-03-01.61	3C286	223-14	7.12	1.1	0.262	0.0657 84	24.8	-1.0	0.00 0.00 -1.05	-79 41	13.5 31	65.4	-7.1 9.0	5.7 -90.4	0.172 0.013	0.144 0.080	26.4 1.7	-4.5 5.5
2015-03-01.64	3C286	223-14	7.20	2.1	0.287	0.0269 99	25.3	-1.5	0.00 0.00 -1.90	-79 40	13.5 31	65.2	-0.7 0.2	12.0 -99.6	0.379 4.8E-3	0.360 6.2E-3	16.8 0.2	-2.0 -1.1
2015-03-01.69	1502+106	223-14	7.58	2.0	0.323	0.0229 99	25.3	-1.5	0.00 0.00 -1.90	-113 43	15.1 10	48.2	0.1 2.2	17.1 -85.9	0.793 4.9E-3	0.800 6.8E-3	17.1 0.1	-1.9 2.3
2015-03-01.70	1502+106	223-14	7.64	1.1	0.323	0.0202 99	25.2	-1.4	0.00 0.00 -1.65	-113 43	15.1 10	48.5	-1.0 2.5	15.8 -86.2	0.714 5.7E-3	0.689 5.5E-3	16.2 0.1	-1.8 2.0
2015-03-01.71	1502+106	223-14	7.66	1.1	0.323	0.0193 99	25.2	-1.4	0.00 0.00 -2.25	-112 42	15.1 10	48.7	1.8 2.2	18.5 -86.6	0.657 6.3E-3	0.645 7.3E-3	16.5 0.2	-1.2 0.8
2015-03-01.72	1502+106	223-14	7.68	1.1	0.316	0.0170 99	25.0	-1.3	0.00 0.00 -1.05	-112 42	15.1 10	48.8	-1.5 1.4	15.3 -87.5	0.661 5.5E-3	0.656 6.7E-3	16.4 0.1	-1.5 0.8
2015-03-01.73	1502+106	223-14	7.70	1.1	0.316	0.0189 99	24.8	-1.2	0.00 0.00 -2.85	-112 42	15.1 10	48.9	2.1 2.2	18.8 -87.0	0.494 6.1E-3	0.559 9.0E-3	17.9 0.2	-1.2 0.9
2015-03-01.74	1502+106	223-14	7.73	1.1	0.316	0.0205 99	24.8	-1.2	0.00 0.00 -0.45	-112 42	15.1 10	49.0	-3.0 0.8	13.7 -88.5	0.490 6.1E-3	0.538 8.8E-3	17.6 0.2	-2.5 2.1




# Sun Mar  1 13:48:03 UTC 2015 - Tony: Johannes let some air out of the vibration dampers. the pointing model may change abruptly (be discontinuous).
2015-03-01.107	Uranus	test	14.93	2.0	0.565	0.0270 98	26.0	3.7	0.00 0.00 -1.60	-169 58	0.9 5	9.5	-12.7 9.5	11.2 -63.2	9.96 0.034	13.0 0.031	20.2 0.1	-2.1 -2.4
2015-03-01.108	0119+041	224-14	15.02	2.0	0.611	0.0235 98	26.1	3.6	0.00 0.00 -1.60	-179 57	1.4 4	0.9	1.4 0.2	10.4 -60.5	0.183 6.5E-3	0.144 5.2E-3	13.8 0.5	-1.9 1.0
2015-03-01.121	2251+158	224-14	16.17	2.1	0.747	0.0229 76	25.4	2.7	0.00 0.00 -1.60	-98 38	22.9 16	55.4	0.1 -5.4	16.3 -102.0	2.35 0.031	3.03 0.043	18.4 0.2	6.6 2.0
2015-03-01.122	2234+282	224-14	16.26	2.0	0.614	0.0171 84	25.4	2.8	0.00 0.00 -1.60	-81 39	22.6 28	63.8	-0.3 -4.0	13.4 -105.2	0.473 5.6E-3	0.464 5.6E-3	16.3 0.2	0.1 -1.3
2015-03-01.134	0420-014	228-14	17.40	2.0	0.566	0.0209 99	26.2	2.7	0.00 0.00 -1.60	165 51	4.4 -1	-11.3	-0.4 1.6	6.1 -64.5	1.01 7.1E-3	0.947 7.1E-3	16.1 0.1	0.4 -0.3
# Sun Mar  1 17:27:51 UTC 2015 - Pointing is still great.  The detectors don't want to lock for the high load at low elevation, though.  One more try on MACSJ0416.
# Sun Mar  1 17:39:46 UTC 2015 - okay, switching to A370.  the higher elevation will make it easier.
2015-03-01.149	0420-014	228-14	18.83	2.0	0.540	0.0177 98	25.9	2.5	0.00 0.00 -1.60	-161 50	4.4 -1	15.7	-0.1 2.6	14.1 -71.7	1.00 6.4E-3	0.956 5.4E-3	16.2 0.1	0.6 0.6
2015-03-01.150	0851+202	223-14	18.98	2.0	0.546	0.0188 97	25.4	2.3	0.00 0.00 -1.60	95 41	8.9 20	-57.8	-1.7 -3.2	-8.4 -76.0	1.92 8.7E-3	1.97 9.6E-3	16.1 0.1	2.0 -2.6
2015-03-01.151	0851+202	223-14	19.04	1.1	0.500	0.0158 98	24.8	2.3	0.00 0.00 -1.80	96 42	8.9 20	-57.7	-0.6 -2.9	-7.6 -75.3	1.61 0.011	1.78 0.012	16.3 0.1	0.9 -2.7
2015-03-01.152	0851+202	223-14	19.07	1.1	0.500	0.0158 98	24.8	2.3	0.00 0.00 -2.40	96 42	8.9 20	-57.7	0.1 -3.2	-7.0 -75.5	1.25 0.012	1.59 0.012	18.4 0.2	2.0 -1.3
2015-03-01.153	0851+202	223-14	19.09	1.1	0.522	0.0161 98	25.0	2.3	0.00 0.00 -1.20	96 42	8.9 20	-57.6	-2.5 -3.3	-9.7 -75.4	1.85 0.011	1.95 0.012	15.4 0.1	-0.7 -0.6
2015-03-01.154	0851+202	223-14	19.11	1.1	0.522	0.0190 97	24.8	2.3	0.00 0.00 -3.00	96 42	8.9 20	-57.6	0.7 -2.4	-6.9 -74.4	0.723 0.010	1.05 0.013	20.5 0.3	-5.5 -2.8
2015-03-01.155	0851+202	223-14	19.13	1.1	0.522	0.0157 98	24.6	2.4	0.00 0.00 -0.60	96 43	8.9 20	-57.6	-3.5 -2.5	-10.9 -74.4	1.73 0.010	1.96 0.014	16.0 0.1	-0.6 0.8
2015-03-01.173	0851+202	223-14	20.30	1.1	0.465	0.0180 101	25.0	2.6	0.00 0.00 -1.40	111 56	8.9 20	-52.4	-0.0 0.2	-11.2 -61.4	1.96 0.011	2.20 9.6E-3	14.9 0.1	-0.4 1.5
2015-03-01.174	0851+202	223-14	20.32	1.1	0.465	0.0167 101	24.7	2.6	0.00 0.00 -2.00	111 57	8.9 20	-52.2	0.8 -0.1	-10.4 -61.4	1.84 0.011	2.11 0.011	15.7 0.1	-1.1 0.8
2015-03-01.175	0851+202	223-14	20.35	1.1	0.465	0.0168 101	24.9	2.6	0.00 0.00 -0.80	112 57	8.9 20	-52.1	-1.3 1.3	-12.5 -59.8	1.72 0.011	2.10 0.014	15.6 0.1	-0.6 2.5
2015-03-01.176	0851+202	223-14	20.37	1.1	0.465	0.0172 101	24.9	2.6	0.00 0.00 -2.60	112 57	8.9 20	-51.9	2.5 -0.2	-8.7 -61.1	1.52 0.015	1.78 0.012	17.0 0.2	-1.1 0.7
2015-03-01.177	0851+202	223-14	20.39	1.1	0.552	0.0174 101	24.7	2.7	0.00 0.00 -0.20	112 57	8.9 20	-51.7	-1.7 1.9	-13.0 -58.7	1.54 0.013	1.89 0.012	17.1 0.1	-0.3 0.4
2015-03-01.199	1055+018	232-14	23.46	2.0	0.469	0.0204 101	25.7	3.4	0.00 0.00 -1.40	153 51	11.0 2	-21.3	-2.1 2.5	0.7 -59.3	2.71 0.013	2.97 9.2E-3	16.0 0.1	-1.8 -0.7
2015-03-02.15	1055+018	232-14	2.11	2.0	0.494	0.0183 99	25.8	4.4	0.00 0.00 -1.40	-144 49	11.0 2	28.4	-0.1 0.4	14.1 -74.6	2.62 0.012	2.99 9.2E-3	16.0 0.1	-0.3 0.7
2015-03-02.24	1055+018	232-14	3.34	2.0	0.493	0.0162 96	25.4	4.8	0.00 0.00 -1.40	-123 38	11.0 2	42.1	-1.0 -2.2	14.4 -88.6	2.26 0.011	2.65 9.1E-3	16.3 0.1	-0.9 1.6
