# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-15.15	J0958+656	1.80	1.9	0.267	0.0233 100	37.4	4.1	-31 39	10.0 66	41.9	0.5 -1.3	-25.5 -91.1	1.57 5.3E-3	1.69 9.6E-3	17.5 0.1
2011-04-15.19	1418+546	2.38	1.9	0.281	0.0185 100	37.3	3.8	-32 68	14.3 54	66.5	1.2 -2.4	-13.9 -57.1	0.259 4.0E-3	0.266 6.0E-3	17.4 0.3
2011-04-15.20	J0958+656	2.44	1.9	0.241	0.0201 101	37.6	3.8	-30 35	10.0 66	37.8	0.2 -1.4	-27.0 -94.9	1.53 4.7E-3	1.67 7.0E-3	17.5 0.1
2011-04-15.24	1418+546	3.01	1.9	0.227	0.0198 101	37.5	3.6	-40 63	14.3 54	59.1	1.0 -4.0	-13.5 -64.6	0.248 4.1E-3	0.233 4.2E-3	16.8 0.3
2011-04-15.25	J0958+656	3.06	1.9	0.237	0.0228 101	37.4	3.6	-29 31	10.0 66	33.9	-0.1 -0.6	-28.6 -97.4	1.53 6.6E-3	1.66 9.7E-3	17.3 0.1
2011-04-15.29	1418+546	3.64	1.9	0.200	0.0217 97	37.5	3.2	-44 58	14.3 54	53.3	0.7 -3.5	-14.6 -70.5	0.253 3.8E-3	0.245 5.3E-3	16.9 0.3
2011-04-15.30	J0958+656	3.69	1.9	0.240	0.0324 100	37.9	3.0	-27 28	10.0 66	30.1	0.9 -0.3	-28.7 -100.0	1.50 0.010	1.61 0.010	17.1 0.1
2011-04-15.34	1418+546	4.32	1.9	0.220	0.0180 102	37.3	3.0	-47 52	14.3 54	48.2	0.4 -3.3	-16.8 -77.4	0.263 3.6E-3	0.259 5.2E-3	17.1 0.2
2011-04-15.35	J0958+656	4.38	1.9	0.170	0.0223 98	37.3	2.9	-24 24	10.0 66	26.0	0.0 0.6	-30.7 -101.7	1.36 8.5E-3	1.50 7.8E-3	17.3 0.1
2011-04-15.39	J1504+105	4.98	1.8	0.188	0.0217 98	37.2	2.9	-109 39	15.1 10	25.0	0.1 -1.1	-12.7 -75.7	0.634 4.9E-3	0.651 6.5E-3	17.3 0.1
2011-04-15.40	J1405+043	5.03	1.9	0.176	0.0248 93	37.2	2.8	-103 23	14.1 4	25.5	-2.6 3.0	-24.3 -87.5	0.105 6.7E-3	0.0963 5.3E-3	14.9 1.0
2011-04-15.43	J1504+105	5.29	1.8	0.198	0.0215 100	37.1	2.5	-105 36	15.1 10	25.7	0.5 -1.2	-14.5 -80.6	0.643 4.7E-3	0.680 6.7E-3	17.4 0.1
2011-04-15.44	J1357+193	5.34	1.9	0.196	0.0234 100	36.9	2.5	-85 27	14.0 19	28.6	1.1 -1.5	-20.3 -94.6	0.371 6.0E-3	0.374 7.4E-3	16.8 0.3
2011-04-15.45	1413+135	5.38	1.9	0.188	0.0221 100	36.7	2.5	-93 27	14.3 13	27.4	2.3 -2.1	-18.3 -93.1	0.323 5.9E-3	0.346 7.1E-3	17.4 0.3
2011-04-15.47	2136+141	5.68	1.9	0.168	0.0192 101	37.1	2.5	112 48	21.7 14	-25.1	-0.8 0.8	-31.9 -42.8	0.347 3.8E-3	0.339 4.5E-3	16.9 0.2
2011-04-15.51	2136+141	6.27	1.9	0.141	0.0175 103	37.3	2.5	121 54	21.7 14	-22.6	-2.1 -0.4	-29.3 -34.7	0.365 3.7E-3	0.359 4.5E-3	17.0 0.2
2011-04-15.55	2136+141	6.84	1.9	0.208	0.0180 102	37.5	2.7	132 60	21.7 14	-18.8	-3.0 -0.7	-25.1 -26.7	0.362 3.9E-3	0.363 4.1E-3	17.3 0.2
# Fri Apr 15 07:13:41 UTC 2011 - IRAM alarm for network; look for possible dropouts
2011-04-15.59	2136+141	7.42	1.9	0.182	0.0174 101	37.4	3.0	148 64	21.7 14	-13.1	-2.1 -1.4	-17.8 -21.0	0.344 3.3E-3	0.387 6.7E-3	18.0 0.2
2011-04-15.63	2230+114	8.26	1.9	0.138	0.0186 102	37.3	3.4	149 61	22.5 12	-12.6	-3.0 -0.9	-19.6 -24.2	0.679 4.0E-3	0.763 7.3E-3	18.1 0.1
# Fri Apr 15 08:19:40 UTC 2011 - starting pointing
2011-04-15.64	2318+049	8.31	1.9	0.155	0.0188 101	37.4	3.4	137 50	23.3 5	-16.7	-1.5 0.1	-25.7 -37.3	0.227 3.3E-3	0.221 3.7E-3	16.9 0.2
2011-04-15.65	2251+158	8.41	1.9	0.148	0.0318 65	37.5	3.4	138 64	22.9 16	-16.9	3.3 -6.8	-15.6 -27.0	1.47 0.015	3.52 0.040	24.6 0.2
2011-04-15.66	2234+282	8.46	1.9	0.139	0.0204 101	37.2	3.5	125 76	22.6 28	-24.0	-4.6 -2.0	-22.6 -6.2	0.584 4.0E-3	0.639 7.5E-3	17.6 0.1
2011-04-15.67	J2321+275	8.60	1.9	0.142	0.0210 103	36.9	3.6	111 69	23.4 28	-28.7	-4.7 -0.3	-29.6 -16.6	0.201 4.0E-3	0.211 5.3E-3	17.2 0.3
2011-04-15.68	J2301+374	8.66	1.9	0.172	0.0216 103	37.4	3.6	83 77	23.0 37	-43.7	-6.7 1.5	-34.8 -10.8	0.111 4.3E-3	0.101 4.2E-3	15.0 0.6
2011-04-15.69	J2225-050	8.75	1.9	0.152	0.0211 101	37.6	3.6	172 48	22.4 -5	-3.4	-2.2 -1.9	-18.3 -44.2	1.01 5.7E-3	1.14 7.2E-3	18.1 0.1
2011-04-15.70	Mars	8.82	1.9	0.170	0.0252 101	37.3	3.6	125 42	0.6 3	-20.4	-1.0 -0.6	-30.5 -48.8	36.2 0.023	48.4 0.029	19.7 0.0
2011-04-15.71	J0050-095	8.86	1.9	0.142	0.0201 101	37.3	3.7	133 30	0.8 -9	-18.3	0.4 0.9	-30.2 -57.8	0.346 5.4E-3	0.368 6.3E-3	17.2 0.3
2011-04-15.72	0235+164	8.93	1.9	0.141	0.0242 101	36.9	3.8	90 29	2.6 17	-28.3	-0.3 -0.1	-37.0 -67.9	0.708 6.1E-3	0.793 7.6E-3	17.8 0.1
2011-04-15.73	Mercury	8.98	1.9	0.136	0.1012 41	37.2	3.8	120 43	0.9 7	-22.0	--- ---	--- ---	--- ---	--- ---	--- ---
2011-04-15.74	J0010+110	9.03	1.9	0.130	0.0189 103	37.2	3.8	129 54	0.2 11	-19.6	-5.0 -1.5	-30.0 -35.0	0.115 3.4E-3	0.109 4.5E-3	16.3 0.5
2011-04-15.75	J2321+275	9.08	1.9	0.221	0.0198 103	37.3	3.8	123 74	23.4 28	-24.5	-5.7 -3.3	-25.1 -10.4	0.209 4.5E-3	0.224 5.3E-3	17.6 0.4
2011-04-15.76	J2253+161	9.14	1.9	0.197	0.0336 64	37.7	3.9	162 68	22.9 16	-7.4	-3.3 -9.0	-12.6 -23.8	1.17 0.019	3.58 0.042	27.9 0.4
2011-04-15.77	J2232+117	9.19	1.9	0.197	0.0195 102	37.4	4.0	178 65	22.5 12	-0.7	-4.3 -2.6	-10.5 -24.6	0.653 4.4E-3	0.763 6.8E-3	18.4 0.1
2011-04-15.78	J2225-050	9.24	1.9	0.170	0.0204 101	37.6	4.0	-177 48	22.4 -5	1.0	-2.9 -0.7	-16.4 -44.6	1.02 5.5E-3	1.20 8.6E-3	18.5 0.1
2011-04-15.79	J2258-280	9.30	1.9	0.141	0.0223 99	37.5	4.0	175 25	23.0 -28	-2.5	-1.2 -1.8	-26.6 -66.9	1.59 8.8E-3	1.87 9.7E-3	18.0 0.1
2011-04-15.80	J2011-158	9.37	1.9	0.182	0.0221 101	37.6	4.1	-139 27	20.2 -16	16.3	-0.0 -0.3	-20.0 -76.2	0.604 5.9E-3	0.659 7.1E-3	17.4 0.2
2011-04-15.81	J2148+070	9.42	1.9	0.184	0.0199 102	37.2	4.4	-154 57	21.8 7	10.4	-4.6 -4.1	-8.8 -42.7	0.841 4.0E-3	0.919 6.7E-3	18.0 0.1
2011-04-15.82	J2203+318	9.49	1.9	0.179	0.0199 102	37.4	4.3	-116 79	22.1 32	28.5	-3.9 -5.5	6.0 -26.8	0.926 5.1E-3	1.10 7.9E-3	18.2 0.1
2011-04-15.83	K3-50A	9.54	1.9	0.201	0.0330 71	37.3	4.2	-83 56	20.0 34	35.8	-0.8 1.7	-7.8 -62.4	2.74 0.030	5.66 0.039	22.1 0.2
2011-04-15.84	J2202+423	9.60	1.9	0.210	0.0243 85	37.3	4.3	-58 79	22.0 42	56.7	1.1 -4.0	-0.8 -41.9	3.09 9.8E-3	4.08 0.015	18.0 0.1
2011-04-15.85	J2015+372	9.65	1.9	0.194	0.0217 102	37.1	4.4	-77 58	20.3 37	38.7	0.1 -4.0	-6.8 -66.4	1.68 5.0E-3	1.95 9.1E-3	18.4 0.1
2011-04-15.88	J1642+689	9.83	1.9	0.170	0.0205 101	37.2	4.4	-25 32	16.7 69	34.4	-0.4 -2.5	-29.4 -98.5	0.578 4.0E-3	0.612 6.9E-3	17.1 0.1
2011-04-15.89	J1800+785	9.88	1.9	0.178	0.0218 99	37.1	4.4	-14 39	18.0 78	46.5	0.3 -3.2	-29.4 -91.9	1.38 4.8E-3	1.49 7.0E-3	17.5 0.1
2011-04-15.90	J1824+569	9.95	1.9	0.123	0.0214 99	37.7	4.5	-42 39	18.4 57	39.9	0.6 -2.6	-22.7 -91.7	0.764 4.7E-3	0.806 6.8E-3	17.5 0.1
2011-04-15.91	J2038+513	10.00	1.9	0.149	0.0217 100	36.9	4.5	-50 58	20.6 51	50.4	1.5 -5.2	-12.1 -71.6	1.11 4.5E-3	1.17 7.0E-3	17.7 0.1
2011-04-15.92	J0102+584	10.08	1.9	0.153	0.0232 100	37.4	4.3	29 63	1.0 58	-66.1	-1.5 2.3	-34.1 -47.6	1.61 5.3E-3	1.85 9.8E-3	18.2 0.1
