# Time[CET]   Date          Tau         TauERR
  22:58:31    2014-10-20    0.3197      0.0076
  23:02:46    2014-10-20    0.3073      0.0117
  23:07:00    2014-10-20    0.2917      0.0226
  23:11:15    2014-10-20    0.2941      0.0219
  23:15:29    2014-10-20    0.3014      0.0125
  23:19:44    2014-10-20    0.3234      0.0168
  23:23:59    2014-10-20    0.3106      0.0079
  23:28:13    2014-10-20    0.3103      0.0078
  23:32:28    2014-10-20    0.3130      0.0088
  23:36:42    2014-10-20    0.1929      0.0190
  23:40:57    2014-10-20    0.2996      0.0168
  23:45:12    2014-10-20    0.3245      0.0167
  23:49:26    2014-10-20    0.1846      0.0239
  23:53:41    2014-10-20    0.3143      0.0095
  23:57:56    2014-10-20    0.3235      0.0087
  00:02:10    2014-10-21    0.3247      0.0137
  00:06:25    2014-10-21    0.3066      0.0101
  00:10:40    2014-10-21    0.3008      0.0117
  00:14:54    2014-10-21    0.3158      0.0115
  00:19:09    2014-10-21    0.2637      0.0219
  00:23:24    2014-10-21    0.3021      0.0114
  00:27:38    2014-10-21    0.3000      0.0108
  00:31:53    2014-10-21    0.3025      0.0158
  00:36:08    2014-10-21    0.2896      0.0115
  00:40:22    2014-10-21    0.2872      0.0174
  00:44:37    2014-10-21    0.2747      0.0210
  00:48:52    2014-10-21    0.2773      0.0093
  00:53:06    2014-10-21    0.2519      0.0082
  00:57:21    2014-10-21    0.3013      0.0364
  01:01:36    2014-10-21    0.2765      0.0189
  01:05:51    2014-10-21    0.3111      0.0102
  01:10:05    2014-10-21    0.2805      0.0112
  01:14:20    2014-10-21    0.3321      0.0166
  01:18:35    2014-10-21    0.3249      0.0235
  01:22:49    2014-10-21    0.3213      0.0516
  01:27:04    2014-10-21    0.3193      0.0166
  01:31:19    2014-10-21    0.2754      0.0086
  01:35:34    2014-10-21    0.2749      0.0133
  01:39:48    2014-10-21    0.3035      0.0096
  01:44:03    2014-10-21    0.3031      0.0066
  01:48:18    2014-10-21    0.2800      0.0102
  01:52:32    2014-10-21    0.2950      0.0070
  01:56:47    2014-10-21    0.3212      0.0179
  02:01:02    2014-10-21    0.3149      0.0136
  02:05:17    2014-10-21    0.2889      0.0107
  02:09:31    2014-10-21    0.3031      0.0400
  02:13:46    2014-10-21    0.2238      0.0719
  02:18:01    2014-10-21    0.2863      0.0151
  02:22:16    2014-10-21    0.2961      0.0173
  02:26:30    2014-10-21    0.3072      0.0231
  02:30:45    2014-10-21    0.3086      0.0145
  02:35:00    2014-10-21    0.0248      0.1985
  02:39:15    2014-10-21    0.3294      0.0165
  02:43:29    2014-10-21    0.2978      0.0100
  02:47:44    2014-10-21    0.3060      0.0233
  02:51:59    2014-10-21    0.3105      0.0089
  02:56:14    2014-10-21    0.3429      0.0344
  03:00:28    2014-10-21    0.2608      0.0590
  03:04:43    2014-10-21    0.2988      0.0223
  03:08:58    2014-10-21    0.2740      0.0390
  03:13:13    2014-10-21    0.3001      0.0179
  03:17:28    2014-10-21    0.3231      0.0346
  03:21:42    2014-10-21    0.3513      0.0287
  03:25:57    2014-10-21    0.3135      0.0109
  03:30:12    2014-10-21    0.3145      0.0110
  03:34:27    2014-10-21    0.3511      0.0226
