# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
2014-10-22.3	Uranus	109-14	2.61	1.1	0.523	0.0146 65	25.1	7.0	0.00 0.00 -1.97	-110 32	0.9 5	48.8	0.6 0.5	18.1 -104.4	5.64 0.035	9.78 0.053	18.4 0.1	2.6 6.8
2014-10-22.4	Uranus	109-14	2.63	1.1	0.522	0.0140 66	25.2	7.0	0.00 0.00 -0.77	-110 32	0.9 5	48.9	-2.3 0.2	15.1 -104.8	6.81 0.033	11.6 0.073	18.9 0.1	1.7 2.4
2014-10-22.5	Uranus	109-14	2.65	1.1	0.507	0.0208 65	25.1	7.0	0.00 0.00 -2.57	-110 31	0.9 5	49.0	1.7 0.4	19.5 -104.9	5.74 0.051	11.1 0.10	22.1 0.2	1.1 -2.2
2014-10-22.6	Uranus	109-14	2.67	1.1	0.506	0.0144 64	24.8	7.0	0.00 0.00 -0.17	-109 31	0.9 5	49.1	-5.1 -2.5	12.3 -108.0	4.85 0.039	10.3 0.12	22.9 0.2	-3.5 -6.7
2014-10-22.7	Uranus	test	2.71	1.1	0.494	0.0130 61	25.1	6.9	0.00 0.00 -1.53	-109 31	0.9 5	49.2	-0.7 0.6	16.9 -105.2	4.34 0.037	8.77 0.071	18.1 0.1	10.9 17.0
2014-10-22.8	Uranus	test	2.73	1.1	0.493	0.0217 62	25.3	6.9	0.00 0.00 -2.13	-109 31	0.9 5	49.3	3.6 2.1	19.5 -104.2	5.08 0.29	21.0 0.78	30.4 1.4	-1.5 12.3
2014-10-22.9	Uranus	test	2.75	1.1	0.492	0.0147 62	25.2	6.9	0.00 0.00 -0.93	-109 30	0.9 5	49.4	-1.3 -0.9	15.9 -107.1	3.42 0.056	8.17 0.075	20.2 0.3	6.3 9.2
2014-10-22.10	Uranus	test	2.81	1.1	0.490	0.0141 60	24.8	7.0	0.00 0.00 -1.53	-108 30	0.9 5	49.7	-1.0 -1.8	15.7 -108.5	3.46 0.038	7.89 0.049	19.4 0.2	4.6 6.0
2014-10-22.11	Uranus	test	2.83	1.1	0.490	0.0142 59	25.0	7.1	0.00 0.00 -2.13	-108 29	0.9 5	49.8	1.0 -0.6	18.3 -107.5	3.48 0.039	7.40 0.043	18.8 0.2	10.5 6.6
2014-10-22.12	Uranus	test	2.86	1.1	0.489	0.0139 57	25.1	7.1	0.00 0.00 -0.93	-107 29	0.9 5	49.9	1.4 -0.5	18.2 -107.5	2.11 0.050	4.50 0.061	19.1 0.4	6.6 14.4
2014-10-22.13	Uranus	test	2.88	1.1	0.489	0.0197 55	25.0	7.1	0.00 0.00 -2.73	-107 29	0.9 5	50.0	3.4 -2.0	20.3 -109.2	4.46 0.13	8.95 0.16	23.4 0.6	5.2 -9.6
2014-10-22.14	Uranus	test	2.90	1.1	0.489	0.0145 56	25.1	7.1	0.00 0.00 -0.33	-107 29	0.9 5	50.0	-2.1 -2.8	14.7 -110.2	2.96 0.041	7.04 0.080	22.5 0.3	7.9 4.9
2014-10-22.15	Uranus	test	2.96	1.1	0.499	0.0147 53	24.8	7.1	0.00 0.00 -1.30	-106 28	0.9 5	50.3	-1.4 -0.3	15.2 -108.1	5.27 0.13	8.82 0.25	18.2 0.4	6.1 6.7
2014-10-22.16	Uranus	test	2.98	1.1	0.499	0.0168 49	25.2	7.1	0.00 -2.00 -1.30	-106 28	0.9 5	50.3	5.6 -0.6	22.0 -108.5	4.79 0.078	6.07 0.086	14.7 0.2	14.4 6.3
2014-10-22.17	Uranus	test	3.00	1.1	0.504	0.0159 52	25.2	7.0	0.00 2.00 -1.30	-106 27	0.9 5	50.4	-7.2 -2.7	9.3 -110.9	4.57 0.070	4.92 0.049	14.3 0.2	-1.1 1.2
2014-10-22.20	Uranus	test	3.14	2.1	0.511	0.0148 47	25.5	7.1	0.00 0.00 -1.30	-104 26	0.9 5	50.9	-0.7 -2.0	15.4 -111.2	6.41 0.042	8.52 0.038	16.1 0.1	5.5 8.0
2014-10-22.23	0336-019	test	3.73	2.0	0.493	0.0106 99	25.9	7.1	0.00 0.00 -1.30	-140 43	3.7 -2	31.2	0.2 0.2	18.4 -84.4	0.758 4.1E-3	0.824 4.8E-3	15.6 0.1	-0.5 1.5
2014-10-22.24	0336-019	test	3.95	1.1	0.481	0.0101 97	25.5	6.8	0.00 0.00 -1.30	-136 42	3.7 -2	33.7	-0.4 0.0	17.7 -87.1	0.699 5.2E-3	0.750 7.6E-3	15.5 0.1	-4.0 2.0
2014-10-22.25	0336-019	test	3.97	1.1	0.480	0.0104 97	25.4	6.7	0.00 0.00 -1.90	-136 41	3.7 -2	34.0	0.7 -0.1	18.5 -87.4	0.647 5.2E-3	0.680 5.3E-3	15.3 0.1	-1.0 2.3
2014-10-22.26	0336-019	test	3.99	1.1	0.481	0.0103 95	25.3	6.7	0.00 0.00 -0.70	-135 41	3.7 -2	34.2	-2.3 -0.1	16.0 -87.7	0.597 5.5E-3	0.660 7.4E-3	16.0 0.1	-3.5 2.0
2014-10-22.27	0336-019	test	4.01	1.1	0.481	0.0096 94	25.5	6.7	0.00 0.00 -2.50	-135 41	3.7 -2	34.5	2.9 -0.0	21.0 -87.8	0.498 5.2E-3	0.589 7.4E-3	16.5 0.2	1.2 1.9
2014-10-22.28	0336-019	test	4.04	1.0	0.481	0.0093 94	25.5	6.8	0.00 0.00 -0.10	-135 41	3.7 -2	34.7	-3.1 -0.1	15.0 -88.2	0.399 5.7E-3	0.505 7.1E-3	17.4 0.2	-3.7 3.0
#.2014-10-22.33	Jupiter	test	4.86	2.0	0.505	0.1161 85	25.4	6.5	0.00 0.00 -1.40	109 47	9.4 16	-51.6	-9.7 3.3	-16.1 -68.5	189 1.1	923 5.7	35.1 0.2	-15.8 4.7
2014-10-22.34	0851+202	test	4.98	2.1	0.515	0.0153 99	25.3	6.5	0.00 0.00 -1.40	112 57	8.9 20	-51.6	0.0 -0.4	-8.5 -63.4	2.55 0.012	2.90 0.011	15.0 0.1	-2.0 2.8
# Wed Oct 22 05:21:13 UTC 2014 - Alex Karim: Tau at 0.5, still some wind around. No deep field weather but no planets up for beam map. Array bias currently too high, will try to get back some bolometers before proceeding.
# Wed Oct 22 06:24:49 UTC 2014 - Alex Karim: Sunset reveals a lot of thin but also thicker cirrus as well as a lot of fog below us (as seen during previous days). Don't expect tau to change much any time soon.
2014-10-22.43	1055+018	117-14	6.40	2.0	0.470	0.0158 93	25.6	6.2	0.00 0.00 -1.40	123 38	11.0 2	-41.9	-0.3 0.2	-1.7 -70.1	1.82 9.1E-3	2.12 0.011	15.2 0.1	-4.5 -0.7
# Wed Oct 22 06:29:34 UTC 2014 - Alex Karim: Killed scan 44 right after start of execution since it was still using the pointing source instead of the science target.
# Wed Oct 22 06:55:21 UTC 2014 - Alex Karim: Tau somewhat decreasing, so there might be hope. Will add a few scans and repeat focus in stable atmosphere well after sunset.
2014-10-22.53	1055+018	117-14	7.79	2.0	0.387	0.0247 59	26.0	6.0	0.00 0.00 -1.40	147 50	11.0 2	-25.6	0.9 -0.4	1.6 -64.7	2.48 0.016	2.42 0.012	14.7 0.1	-3.4 2.7
2014-10-22.54	1055+018	117-14	7.85	1.1	0.379	0.0159 99	25.4	6.0	0.00 0.00 -1.60	148 50	11.0 2	-24.6	-0.3 0.4	0.8 -63.5	2.07 0.014	2.37 0.013	14.4 0.1	-7.0 5.0
2014-10-22.55	1055+018	117-14	7.87	1.1	0.379	0.0135 104	25.5	6.0	0.00 0.00 -2.20	149 50	11.0 2	-24.3	1.6 0.7	2.8 -63.1	1.83 0.016	2.20 0.013	14.7 0.1	-2.6 2.5
