# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
2014-10-24.48	1055+018	test	7.17	1.1	0.302	0.0127 103	25.4	6.9	-0.75 0.39 -1.50	137 46	11.0 2	-32.6	-0.4 0.7	-1.0 -63.3	1.86 0.014	2.41 0.013	14.6 0.1	-6.7 7.6
2014-10-24.49	1055+018	test	7.19	1.1	0.302	0.0135 104	25.4	6.9	-0.75 0.39 -2.10	138 46	11.0 2	-32.4	0.9 -0.2	0.4 -64.1	2.03 0.013	2.63 0.013	14.6 0.1	-2.6 4.3
2014-10-24.50	1055+018	test	7.21	1.0	0.302	0.0131 104	25.2	6.9	-0.75 0.39 -0.90	138 46	11.0 2	-32.1	-2.5 1.3	-2.9 -62.4	2.06 0.015	2.64 0.013	14.9 0.1	-6.1 5.7
2014-10-24.51	1055+018	test	7.23	1.1	0.303	0.0134 104	25.4	6.9	-0.75 0.39 -2.70	139 47	11.0 2	-31.8	3.7 -0.4	3.4 -64.0	1.73 0.014	2.25 0.012	16.2 0.1	-0.8 2.9
2014-10-24.52	1055+018	test	7.25	1.1	0.303	0.0135 104	25.3	6.9	-0.75 0.39 -0.30	139 47	11.0 2	-31.5	-3.6 0.8	-3.9 -62.7	1.54 0.016	2.13 0.011	17.0 0.2	-4.2 5.0
# Fri Oct 24 07:18:44 UTC 2014 - Alex Karim: Focus changed closer back to the old value. Fit was excellent.
2014-10-24.59	1055+018	117-14	8.75	2.0	0.301	0.0152 101	26.2	9.0	-0.75 0.39 -1.63	173 54	11.0 2	-5.5	0.2 0.2	8.6 -61.2	2.48 0.011	2.78 8.5E-3	15.2 0.1	-4.9 4.9
2014-10-24.68	1055+018	117-14	10.10	2.0	0.305	0.0146 102	26.1	8.5	-0.75 0.39 -1.63	-154 51	11.0 2	21.0	0.6 -0.4	14.3 -74.2	2.27 0.011	2.71 8.3E-3	15.2 0.1	-4.7 5.9
2014-10-24.69	1055+018	117-14	10.19	1.1	0.305	0.0134 100	25.7	8.6	-0.75 0.39 -1.63	-152 51	11.0 2	22.4	-0.3 0.4	13.6 -74.4	1.84 0.012	2.36 0.013	14.5 0.1	-9.5 5.4
2014-10-24.70	1055+018	117-14	10.21	1.1	0.305	0.0128 101	25.6	8.6	-0.75 0.39 -2.23	-151 51	11.0 2	22.7	2.3 -0.4	16.4 -75.5	1.85 0.013	2.26 0.011	15.1 0.1	-5.6 4.9
2014-10-24.71	1055+018	117-14	10.23	1.0	0.305	0.0125 100	25.7	8.6	-0.75 0.39 -1.03	-151 51	11.0 2	23.1	-2.7 -0.3	11.4 -75.6	1.90 0.013	2.49 0.011	14.9 0.1	-12.4 8.8
2014-10-24.72	1055+018	117-14	10.25	1.0	0.306	0.0129 101	25.7	8.6	-0.75 0.39 -2.83	-150 51	11.0 2	23.5	4.2 -0.8	18.6 -76.4	1.31 0.013	1.77 0.011	17.3 0.2	-5.1 3.6
2014-10-24.73	1055+018	117-14	10.28	1.1	0.306	0.0123 101	25.7	8.6	-0.75 0.39 -0.43	-150 50	11.0 2	23.8	-3.9 1.8	10.3 -74.1	1.72 0.013	2.32 0.012	16.4 0.1	-8.5 7.0
2014-10-24.82	1055+018	117-14	11.57	2.0	0.335	0.0187 100	25.5	8.5	-0.75 0.39 -1.55	-126 40	11.0 2	40.2	-0.3 -0.1	15.1 -93.6	1.89 0.012	2.27 0.011	16.4 0.1	-5.9 2.9
# Fri Oct 24 12:25:46 UTC 2014 - JLS; Recycling , Zero bias, Crate and Tower off. Cap in place.
2014-10-24.88	Mars	050-14	15.22	2.0	0.434	0.0323 67	26.2	8.0	-0.75 0.39 -1.55	169 27	17.9 -25	-9.3	0.1 -0.3	3.4 -74.6	20.2 0.071	44.0 0.27	22.2 0.1	-1.8 -2.9
2014-10-24.95	2037+511	094-14	16.52	2.0	0.424	0.0141 101	25.7	7.6	-0.75 0.39 -1.55	48 63	20.6 51	-109.7	-0.1 -1.3	-21.5 -77.2	0.650 5.5E-3	0.682 5.3E-3	15.9 0.1	-3.1 4.6
2014-10-24.96	2037+511	094-14	16.58	1.1	0.438	0.0124 102	25.1	7.6	-0.75 0.39 -1.40	47 64	20.6 51	-110.6	0.2 0.5	-21.3 -74.9	0.590 5.8E-3	0.650 7.0E-3	15.9 0.2	-1.2 6.1
2014-10-24.97	2037+511	094-14	16.60	1.0	0.438	0.0118 100	25.3	7.6	-0.75 0.39 -2.00	47 64	20.6 51	-111.0	1.6 0.2	-19.9 -75.1	0.635 5.0E-3	0.680 5.7E-3	15.7 0.1	-4.6 3.7
2014-10-24.98	2037+511	094-14	16.62	1.1	0.433	0.0119 101	25.3	7.5	-0.75 0.39 -0.80	47 64	20.6 51	-111.4	-2.9 1.3	-24.5 -73.8	0.484 5.4E-3	0.588 6.7E-3	16.6 0.2	-2.7 5.8
2014-10-24.99	2037+511	094-14	16.64	1.1	0.433	0.0120 102	25.1	7.5	-0.75 0.39 -2.60	47 64	20.6 51	-111.8	1.8 -1.6	-19.9 -76.6	0.553 5.8E-3	0.613 6.4E-3	16.3 0.2	-1.1 3.6
2014-10-24.100	2037+511	094-14	16.67	1.1	0.433	0.0113 102	25.0	7.5	-0.75 0.39 -0.20	46 64	20.6 51	-112.2	-4.8 3.0	-26.6 -71.9	0.270 4.4E-3	0.406 7.2E-3	18.7 0.3	-3.8 2.7
2014-10-24.101	2037+511	094-14	16.71	2.1	0.424	0.0129 102	25.7	7.5	-0.75 0.39 -3.00	46 65	20.6 51	-113.4	3.7 -1.9	-18.1 -76.4	0.476 5.0E-3	0.552 4.7E-3	17.0 0.2	-3.3 2.0
2014-10-24.118	1800+440	111-14	18.17	2.0	0.397	0.0135 102	25.2	7.0	-0.75 0.39 -1.84	-64 65	18.0 44	95.1	0.3 0.0	9.0 -91.1	0.354 3.4E-3	0.364 3.6E-3	15.9 0.2	-1.4 2.1
2014-10-24.135	1800+440	111-14	19.72	2.0	0.323	0.0142 102	25.3	6.3	-0.75 0.39 -1.84	-62 48	18.0 44	79.9	-0.2 -0.4	9.3 -104.0	0.395 3.4E-3	0.402 3.8E-3	15.9 0.1	-3.9 2.8
2014-10-24.154	2223-052	109-14	21.51	2.0	0.319	0.0142 103	26.2	7.1	-0.75 0.39 -1.84	-157 46	22.4 -5	18.3	1.8 1.2	16.5 -73.3	0.351 3.3E-3	0.364 3.5E-3	15.8 0.1	0.7 0.8
2014-10-24.155	2223-052	109-14	21.59	1.1	0.320	0.0133 103	25.3	7.0	-0.70 0.39 -1.84	-156 45	22.4 -5	19.5	0.8 3.1	15.7 -72.3	0.327 3.8E-3	0.340 5.4E-3	15.8 0.2	-0.2 2.1
2014-10-24.156	2223-052	109-14	21.61	1.0	0.320	0.0138 103	25.8	7.0	-2.70 0.39 -1.84	-155 45	22.4 -5	19.8	0.1 3.0	15.0 -72.7	0.266 4.1E-3	0.287 7.4E-3	16.2 0.3	-3.0 5.6
2014-10-24.157	2223-052	109-14	21.64	1.1	0.321	0.0130 103	25.7	6.9	1.25 0.39 -1.84	-155 45	22.4 -5	20.2	-0.5 0.9	14.5 -75.0	0.344 4.0E-3	0.351 5.5E-3	15.7 0.2	-2.3 1.1
2014-10-24.158	2223-052	109-14	21.66	1.0	0.321	0.0124 103	25.9	6.9	-4.70 0.39 -1.84	-154 45	22.4 -5	20.5	0.9 1.6	15.9 -74.6	0.227 3.5E-3	0.233 5.0E-3	16.2 0.2	0.5 7.8
2014-10-24.159	2223-052	109-14	21.68	1.0	0.321	0.0115 103	25.8	6.9	3.25 0.39 -1.84	-154 45	22.4 -5	20.9	2.6 -0.9	17.6 -77.4	0.266 4.1E-3	0.278 6.0E-3	16.0 0.2	-8.0 -5.1
2014-10-24.160	2223-052	109-14	21.75	1.1	0.320	0.0120 102	25.5	6.8	-0.08 0.38 -1.84	-152 44	22.4 -5	21.9	-1.9 -2.0	13.3 -79.1	0.397 3.6E-3	0.390 4.6E-3	15.6 0.1	-2.4 1.5
2014-10-24.161	2223-052	109-14	21.77	1.0	0.316	0.0127 103	25.7	6.7	-0.08 -1.60 -1.84	-152 44	22.4 -5	22.2	0.5 -0.2	15.2 -77.6	0.338 4.0E-3	0.361 5.3E-3	15.9 0.2	-1.5 1.4
2014-10-24.162	2223-052	109-14	21.79	1.1	0.316	0.0123 103	25.6	6.7	-0.08 2.38 -1.84	-152 44	22.4 -5	22.5	-3.4 -0.2	12.1 -77.9	0.345 4.4E-3	0.347 5.2E-3	15.6 0.2	-5.9 -0.2
2014-10-24.163	2223-052	109-14	21.82	1.0	0.316	0.0122 103	25.6	6.7	-0.08 -3.60 -1.84	-151 44	22.4 -5	22.9	-0.7 -2.6	14.2 -80.5	0.276 4.4E-3	0.304 6.3E-3	16.7 0.3	5.2 2.5
2014-10-24.164	2223-052	109-14	21.84	1.1	0.310	0.0112 103	25.7	6.8	-0.08 4.38 -1.84	-151 44	22.4 -5	23.2	-4.5 -0.5	11.1 -78.7	0.257 3.5E-3	0.273 6.6E-3	16.0 0.2	-10.7 3.4
2014-10-24.165	2223-052	109-14	21.90	1.1	0.309	0.0118 103	25.6	6.9	-0.08 0.26 -1.84	-150 43	22.4 -5	24.1	0.8 0.3	16.1 -78.6	0.368 3.9E-3	0.382 5.1E-3	15.7 0.2	-2.2 1.7
2014-10-24.166	2223-052	109-14	21.92	1.1	0.297	0.0118 103	25.5	6.9	-0.08 0.26 -2.44	-149 43	22.4 -5	24.4	2.5 -0.4	17.9 -79.5	0.317 3.8E-3	0.324 5.1E-3	15.7 0.2	-4.3 1.1
2014-10-24.167	2223-052	109-14	21.94	1.0	0.297	0.0115 102	25.5	6.9	-0.08 0.26 -1.24	-149 43	22.4 -5	24.7	-1.1 -1.1	14.3 -80.5	0.343 3.5E-3	0.342 4.9E-3	15.7 0.2	-1.9 1.3
2014-10-24.168	2223-052	109-14	21.97	1.0	0.296	0.0124 102	25.7	6.9	-0.08 0.26 -3.04	-148 43	22.4 -5	25.0	3.8 -1.6	19.3 -81.2	0.241 4.5E-3	0.279 6.5E-3	16.9 0.3	3.9 -0.1
2014-10-24.169	2223-052	109-14	21.99	1.1	0.297	0.0127 102	25.7	6.9	-0.08 0.26 -0.64	-148 43	22.4 -5	25.3	-2.4 -0.2	13.0 -80.1	0.271 3.8E-3	0.307 6.1E-3	16.3 0.2	-1.5 3.6
# Fri Oct 24 22:08:51 UTC 2014 - JensErler: Project 111-14 now nearly finished. Now starting to observe project 109-14. Done a xyz- focus calibration.Observations paused because Operator topped nitrogen bath. Tau between 0.3 and 0.4.
2014-10-24.170	0106+013	109-14	22.29	2.0	0.299	0.0145 101	26.1	6.9	-0.08 0.26 -1.78	158 53	1.1 2	-17.1	0.0 0.7	6.5 -62.2	0.599 4.0E-3	0.606 5.2E-3	15.5 0.1	-2.1 2.0
2014-10-24.177	1928+738	test	23.35	2.1	0.284	0.0127 102	26.1	6.8	-0.08 0.26 -1.78	-20 36	19.5 74	79.5	-0.4 0.1	0.0 -113.1	1.57 6.4E-3	1.71 5.7E-3	15.7 0.1	-5.2 -0.0
2014-10-25.2	0133+476	test	0.31	2.0	0.306	0.0146 100	25.9	6.7	-0.08 0.26 -1.78	-31 77	1.6 48	141.2	0.4 -0.1	-2.7 -81.6	1.51 7.0E-3	1.63 7.7E-3	15.3 0.1	-2.1 1.3
2014-10-25.10	0133+476	050-14	1.66	2.0	0.311	0.0146 102	25.4	5.3	-0.08 0.26 -1.78	-54 65	1.6 48	104.5	-0.3 0.2	6.0 -91.4	1.56 7.5E-3	1.70 6.2E-3	15.9 0.1	-4.2 2.6
2014-10-25.14	0336-019	109-14	2.51	2.0	0.297	0.0123 102	26.2	5.0	-0.08 0.26 -1.78	-160 49	3.7 -2	15.8	-0.0 -0.5	14.3 -69.4	0.897 3.7E-3	0.937 4.5E-3	15.9 0.1	-3.0 -1.3
2014-10-25.22	0439+360	050-14	3.96	2.0	0.300	0.0168 100	25.2	5.4	-0.08 0.26 -1.78	-88 75	4.7 36	80.9	0.1 0.2	14.1 -72.1	1.92 9.0E-3	2.05 8.6E-3	15.0 0.1	-4.1 3.7
2014-10-25.25	0851+202	117-14	4.54	2.0	0.295	0.0146 101	25.4	4.8	-0.08 0.26 -1.78	109 55	8.9 20	-53.4	-0.1 1.1	-10.3 -60.1	1.83 0.012	2.37 0.011	15.4 0.1	-3.1 5.4
2014-10-25.34	1055+018	117-14	5.85	2.0	0.258	0.0139 102	25.3	4.2	-0.08 0.26 -1.78	118 34	11.0 2	-44.6	-0.2 -0.2	-1.7 -70.3	2.32 9.1E-3	2.64 7.7E-3	15.4 0.1	-4.0 -1.3
2014-10-25.43	1055+018	117-14	7.17	2.1	0.270	0.0144 102	25.6	4.1	-0.08 0.26 -1.78	139 47	11.0 2	-31.6	0.4 0.6	1.6 -61.8	1.71 0.012	2.38 9.7E-3	15.7 0.1	3.2 3.6
2014-10-25.44	1055+018	117-14	7.24	1.1	0.272	0.0133 101	25.4	4.1	-0.08 0.26 -1.78	140 47	11.0 2	-30.8	-0.4 1.4	0.9 -60.6	2.15 0.016	2.80 0.014	13.8 0.1	0.7 4.7
2014-10-25.45	1055+018	117-14	7.26	1.1	0.263	0.0133 101	25.2	4.1	-0.08 0.26 -2.38	140 47	11.0 2	-30.5	1.0 1.0	2.5 -60.8	1.92 0.016	2.60 0.015	14.5 0.1	0.8 3.0
2014-10-25.46	1055+018	117-14	7.28	1.1	0.263	0.0130 99	25.6	4.2	-0.08 0.26 -1.18	141 47	11.0 2	-30.2	-2.2 1.0	-0.6 -60.7	1.77 0.015	2.44 0.016	14.7 0.1	-3.4 4.1
2014-10-25.47	1055+018	117-14	7.31	1.1	0.262	0.0129 101	25.3	4.2	-0.08 0.26 -2.98	141 48	11.0 2	-29.9	3.7 -0.7	5.4 -62.2	1.58 0.013	2.14 0.013	16.6 0.1	1.1 3.1
2014-10-25.48	1055+018	117-14	7.33	1.0	0.259	0.0132 100	25.2	4.3	-0.08 0.26 -0.58	142 48	11.0 2	-29.6	-2.5 0.6	-0.6 -60.8	1.61 0.015	2.22 0.013	16.7 0.2	-2.6 1.8
2014-10-25.57	1055+018	117-14	8.69	2.0	0.257	0.0149 100	26.3	6.3	-0.08 0.26 -1.78	173 54	11.0 2	-5.4	-0.7 0.3	8.7 -60.8	1.78 0.013	2.44 9.2E-3	15.1 0.1	-2.8 4.0
# Sat Oct 25 09:28:23 UTC 2014 - B. Magnelli: Topping the He bath
2014-10-25.66	1055+018	117-14	10.98	2.0	0.000	0.0161 103	25.8	7.5	-0.08 0.26 -1.78	-135 45	11.0 2	34.7	-0.3 0.5	14.8 -84.3	1.62 9.8E-3	1.89 7.2E-3	15.4 0.1	-6.0 1.1
2014-10-25.73	1055+018	117-14	11.96	2.1	0.334	0.0151 99	25.4	7.6	-0.08 0.26 -1.78	-120 35	11.0 2	43.9	-0.3 -0.3	13.7 -96.9	1.68 0.011	1.92 8.4E-3	15.7 0.1	-4.5 0.6
2014-10-25.74	Mars	050-14	14.70	2.0	0.418	0.0478 59	26.1	7.3	-0.08 0.26 -1.78	162 26	17.9 -25	-15.9	-0.5 0.1	3.6 -84.7	21.9 0.36	47.3 0.73	25.4 0.3	0.2 -5.9
2014-10-25.82	2037+511	094-14	16.08	2.1	0.354	0.0202 102	25.7	6.7	-0.08 -0.26 -1.78	50 60	20.6 51	-103.5	-1.4 -1.0	-19.7 -81.2	0.564 5.5E-3	0.637 7.0E-3	17.0 0.2	-2.5 0.6
2014-10-25.83	2037+511	094-14	16.15	1.1	0.353	0.0206 102	25.1	6.7	-0.08 -0.26 -1.78	49 60	20.6 51	-104.4	1.7 -2.0	-16.9 -81.7	0.502 7.9E-3	0.548 9.0E-3	15.6 0.2	-3.3 -1.8
2014-10-25.84	2037+511	094-14	16.17	1.1	0.357	0.0172 102	25.2	6.8	-0.08 -0.26 -2.38	49 61	20.6 51	-104.8	2.3 -1.2	-17.1 -80.7	0.338 6.3E-3	0.402 9.5E-3	17.1 0.3	-1.5 -2.0
2014-10-25.85	2037+511	094-14	16.19	1.1	0.357	0.0217 102	25.2	6.8	-0.08 -0.26 -1.18	49 61	20.6 51	-105.1	0.7 -1.9	-18.0 -81.2	0.631 7.9E-3	0.649 7.7E-3	15.4 0.2	1.4 0.6
2014-10-25.86	2037+511	094-14	16.22	1.1	0.358	0.0153 104	25.0	6.8	-0.08 -0.26 -2.98	49 61	20.6 51	-105.5	4.2 -4.7	-14.7 -83.9	0.153 6.0E-3	0.268 7.6E-3	20.6 0.7	-2.2 -3.6
2014-10-25.87	2037+511	094-14	16.24	1.1	0.353	0.0217 102	25.1	6.8	-0.08 -0.26 -0.58	49 61	20.6 51	-105.8	-0.2 -0.5	-19.1 -79.4	0.591 9.0E-3	0.638 8.7E-3	15.9 0.2	-4.7 -0.8
2014-10-25.88	2037+511	test	16.29	1.1	0.353	0.0181 102	24.8	6.8	-0.08 -0.26 -1.50	49 62	20.6 51	-106.7	4.2 -2.0	-14.9 -80.5	0.532 7.1E-3	0.582 8.2E-3	15.9 0.2	-3.4 1.8
2014-10-25.89	2037+511	test	16.31	1.1	0.353	0.0232 101	25.2	6.8	-0.08 -0.26 -2.10	48 62	20.6 51	-107.0	1.8 -1.9	-16.9 -80.2	0.372 8.4E-3	0.421 9.8E-3	16.2 0.4	-1.2 -1.2
2014-10-25.90	2037+511	test	16.33	1.1	0.353	0.0230 101	25.3	6.8	-0.08 -0.26 -0.90	48 62	20.6 51	-107.4	-2.0 -0.5	-21.3 -78.7	0.624 7.3E-3	0.675 9.2E-3	15.8 0.2	-2.7 0.5
2014-10-25.91	2037+511	test	16.36	1.1	0.353	0.0207 101	25.1	6.8	-0.08 -0.26 -2.70	48 62	20.6 51	-107.8	1.2 -3.1	-18.5 -81.1	0.230 8.3E-3	0.300 8.9E-3	17.7 0.6	-3.8 2.2
2014-10-25.92	2037+511	test	16.38	1.0	0.345	0.0140 101	25.2	6.8	-0.08 -0.26 -0.30	48 62	20.6 51	-108.2	-0.8 0.4	-20.3 -77.5	0.593 6.3E-3	0.651 6.4E-3	16.2 0.2	-0.1 4.4
# Sat Oct 25 16:26:22 UTC 2014 - B. Magnelli: Fits for focusZ are not good, we do FocusX FocusY
2014-10-25.93	2037+511	test	16.42	1.1	0.344	0.0180 97	25.0	6.6	0.00 -0.26 -1.50	48 63	20.6 51	-109.0	0.5 -0.3	-19.3 -77.8	0.583 7.3E-3	0.621 8.4E-3	15.8 0.2	-0.0 2.9
2014-10-25.94	2037+511	test	16.45	1.1	0.344	0.0149 101	25.0	6.6	-2.00 -0.26 -1.50	48 63	20.6 51	-109.4	1.4 -0.3	-18.3 -77.6	0.543 6.5E-3	0.578 7.9E-3	15.7 0.2	-2.2 7.7
2014-10-25.95	2037+511	test	16.47	1.1	0.344	0.0149 101	25.0	6.5	1.91 -0.26 -1.50	47 63	20.6 51	-109.8	-1.3 -0.3	-21.0 -77.4	0.534 6.4E-3	0.604 7.9E-3	16.3 0.2	-2.0 -3.4
2014-10-25.96	2037+511	test	16.49	1.1	0.343	0.0163 101	24.9	6.5	-4.00 -0.26 -1.50	47 63	20.6 51	-110.2	-0.3 0.9	-20.1 -76.1	0.367 6.4E-3	0.416 0.010	16.8 0.3	-2.1 6.5
2014-10-25.97	2037+511	test	16.51	1.1	0.347	0.0170 101	25.1	6.5	3.92 -0.26 -1.50	47 64	20.6 51	-110.6	3.9 -0.8	-16.0 -77.6	0.436 6.5E-3	0.524 9.3E-3	16.5 0.2	-2.0 -9.0
2014-10-25.98	2037+511	test	16.56	1.1	0.346	0.0158 100	25.2	6.4	0.24 -0.20 -1.50	47 64	20.6 51	-111.4	-1.4 -0.5	-21.5 -76.9	0.608 6.1E-3	0.643 7.2E-3	15.7 0.2	-5.3 2.1
2014-10-25.99	2037+511	test	16.58	1.1	0.354	0.0152 101	25.0	6.4	0.24 -2.20 -1.50	47 64	20.6 51	-111.8	0.4 0.7	-20.0 -75.5	0.490 7.3E-3	0.531 7.1E-3	16.2 0.2	1.7 1.9
2014-10-25.100	2037+511	test	16.60	1.1	0.355	0.0152 101	25.1	6.4	0.24 1.74 -1.50	46 64	20.6 51	-112.3	-0.3 0.9	-20.5 -75.2	0.589 5.7E-3	0.630 5.9E-3	15.8 0.2	-3.6 1.5
2014-10-25.101	2037+511	test	16.63	1.1	0.354	0.0210 101	25.0	6.3	0.24 -4.20 -1.50	46 65	20.6 51	-112.7	-1.1 0.5	-21.4 -75.5	0.377 6.7E-3	0.460 0.014	17.6 0.3	2.6 -1.8
2014-10-25.102	2037+511	test	16.65	1.1	0.357	0.0155 101	24.9	6.3	0.24 3.74 -1.50	46 65	20.6 51	-113.2	-3.2 0.0	-23.5 -75.7	0.504 5.7E-3	0.567 8.2E-3	16.3 0.2	-10.4 4.1
2014-10-25.103	2037+511	test	16.72	1.1	0.351	0.0175 101	25.1	6.2	0.24 0.00 -1.50	45 65	20.6 51	-114.6	-2.0 2.4	-22.2 -72.8	0.615 6.0E-3	0.648 8.0E-3	15.6 0.2	-3.8 1.8
2014-10-25.104	2037+511	test	16.74	1.1	0.351	0.0214 101	25.1	6.1	0.24 0.00 -2.10	45 66	20.6 51	-115.0	-0.5 -0.2	-21.2 -75.3	0.503 7.6E-3	0.564 9.8E-3	16.0 0.2	-5.2 -0.8
2014-10-25.105	2037+511	test	16.76	1.1	0.350	0.0204 101	25.1	6.1	0.24 0.00 -0.90	45 66	20.6 51	-115.5	-1.1 1.2	-21.8 -73.8	0.581 6.8E-3	0.603 7.5E-3	15.8 0.2	-2.5 -0.5
2014-10-25.106	2037+511	test	16.78	1.1	0.349	0.0185 101	25.3	6.1	0.24 0.00 -2.70	45 66	20.6 51	-115.9	0.4 0.5	-20.4 -74.3	0.321 7.0E-3	0.374 9.6E-3	16.5 0.4	-4.0 -1.0
2014-10-25.107	2037+511	test	16.81	1.1	0.345	0.0181 101	25.3	6.1	0.24 0.00 -0.30	45 66	20.6 51	-116.4	-4.0 2.9	-24.8 -71.7	0.473 6.3E-3	0.526 8.7E-3	16.3 0.2	-6.0 2.8
2014-10-25.108	2037+511	test	16.86	1.1	0.347	0.0173 101	25.2	6.0	0.24 0.00 -1.14	44 67	20.6 51	-117.5	-1.9 4.1	-23.0 -70.2	0.604 6.0E-3	0.664 7.7E-3	16.0 0.2	-0.8 -0.2
2014-10-25.109	2037+511	test	16.88	1.1	0.337	0.0141 102	25.2	6.0	0.24 -2.00 -1.14	44 67	20.6 51	-118.0	0.0 0.5	-21.0 -73.7	0.584 5.4E-3	0.651 7.3E-3	16.4 0.1	-1.4 1.2
2014-10-25.110	2037+511	test	16.90	1.1	0.336	0.0150 101	25.2	6.0	0.24 2.00 -1.14	44 67	20.6 51	-118.5	-2.1 0.5	-23.2 -73.5	0.579 5.0E-3	0.597 5.6E-3	15.9 0.1	-9.3 3.6
2014-10-25.111	2037+511	test	16.93	1.1	0.336	0.0145 102	25.1	6.0	0.24 -4.00 -1.14	43 67	20.6 51	-119.0	-0.2 1.4	-21.7 -72.5	0.426 6.1E-3	0.479 6.2E-3	16.8 0.2	4.6 3.2
2014-10-25.112	2037+511	test	16.95	1.0	0.335	0.0152 101	25.2	5.9	0.24 4.00 -1.14	43 67	20.6 51	-119.6	-5.2 2.2	-26.4 -71.6	0.469 5.5E-3	0.546 7.9E-3	16.9 0.2	-10.1 4.7
2014-10-25.121	1800+440	111-14	17.76	2.0	0.280	0.0188 103	25.4	5.4	0.24 0.00 -1.14	-62 69	18.0 44	99.9	-0.7 -0.1	6.8 -88.0	0.365 4.1E-3	0.375 4.6E-3	15.5 0.2	-1.7 0.4
2014-10-25.138	1800+440	111-14	19.34	2.0	0.276	0.0140 102	25.2	5.8	0.24 0.00 -1.14	-63 52	18.0 44	82.6	0.1 -0.0	8.4 -102.5	0.421 3.1E-3	0.421 4.6E-3	16.0 0.1	-1.4 0.8
# Sat Oct 25 20:04:10 UTC 2014 - Jens Erler: High priority time of project 111-14 completed. Started further obseravtions of the radio relic to make use of additional low priority time allocated for the project.
2014-10-25.149	2243-123	test	21.00	2.0	0.276	0.0144 104	26.5	5.7	0.24 0.00 -1.14	-175 41	22.8 -12	4.4	-0.3 -0.4	11.4 -72.7	0.650 4.1E-3	0.711 4.6E-3	16.2 0.1	-3.5 -0.4
2014-10-25.150	Uranus	test	21.10	2.0	0.278	0.0164 103	25.9	5.6	0.24 0.00 -1.14	138 50	0.9 5	-32.4	0.1 -0.3	-0.4 -64.0	12.5 0.016	16.7 0.023	18.7 0.0	-4.0 0.3
2014-10-25.151	Uranus	test	21.15	2.0	0.279	0.0146 103	25.8	5.6	0.24 0.00 -1.14	139 50	0.9 5	-31.7	0.3 -0.5	-0.0 -63.8	12.7 0.014	16.9 0.020	18.8 0.0	-3.4 0.5
# Sat Oct 25 21:12:05 UTC 2014 - Jens Erler: Flux calibration scans: 139 & 140 with bias = 8000 and 141 & 142 with bias = 10000
2014-10-25.152	Uranus	test	21.20	2.1	0.273	0.0171 105	25.8	5.6	0.24 0.00 -1.14	140 51	0.9 5	-31.0	0.1 -0.1	0.0 -63.1	12.8 0.015	16.8 0.021	18.5 0.0	-2.5 0.9
# Sat Oct 25 21:15:01 UTC 2014 - correction: scan numbers are 149 & 150 for bias = 8000 and 151 & 152 for bias = 10000.
2014-10-25.153	Uranus	test	21.24	2.0	0.273	0.0170 103	25.8	5.6	0.24 0.00 -1.14	140 51	0.9 5	-30.4	0.2 -0.1	0.3 -62.8	12.8 0.014	16.6 0.020	18.3 0.0	-2.9 0.3
2014-10-25.156	2037+511	094-14	21.73	2.1	0.348	0.0149 102	25.5	5.3	0.24 0.00 -1.14	-51 54	20.6 51	94.6	-0.5 -0.3	5.8 -103.8	0.718 5.0E-3	0.754 5.5E-3	15.5 0.1	0.2 1.0
# Sat Oct 25 22:41:33 UTC 2014 - Jens Erler: Paused observations for nitrogen topping.
2014-10-25.165	2037+511	094-14	22.74	2.0	0.364	0.0171 66	25.3	5.3	0.24 0.00 -1.14	-51 45	20.6 51	82.9	0.1 1.5	6.5 -107.2	0.739 5.7E-3	0.769 8.3E-3	16.2 0.1	0.2 1.7
2014-10-25.167	1828+487	test	22.97	2.1	0.309	0.0147 97	25.6	5.4	0.24 0.00 -1.14	-45 22	18.5 49	58.6	-0.4 -0.2	4.8 -117.2	0.432 4.2E-3	0.470 5.2E-3	17.1 0.2	-0.5 -0.9
# Sat Oct 25 23:04:03 UTC 2014 - swiched to project test to investigate low number of Ok channels; probably due to atmosphere.
2014-10-26.13	0336-019	109-14	1.10	2.0	0.317	0.0141 104	26.2	5.6	0.24 0.00 -1.14	168 51	3.7 -2	-9.2	0.1 0.4	7.9 -66.4	0.915 5.6E-3	0.954 5.0E-3	15.7 0.1	-0.9 2.7
2014-10-26.20	0336-019	109-14	2.22	2.0	0.320	0.0140 101	26.3	4.9	0.24 0.00 -1.14	-165 50	3.7 -2	11.9	-0.1 -0.2	12.4 -71.2	0.873 5.3E-3	0.914 4.9E-3	15.5 0.1	-0.3 1.2
2014-10-26.30	0235+164	115-14	3.82	2.0	0.354	0.0173 101	25.3	4.9	0.24 0.00 -1.14	-102 43	2.6 17	54.6	-0.1 0.1	15.2 -97.2	0.770 5.5E-3	0.856 6.7E-3	16.0 0.1	-3.2 0.5
