# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2013-04-11.9	1334-127	test	1.66	0.8	0.655	0.0123 84	38.0	2.3	-1.40	-160 38	13.6 -13	16.7	-14.1 2.3	9.9 -74.2	3.04 4.5E-3	3.07 8.1E-3	18.6 0.0
2013-04-11.10	1334-127	test	1.69	0.8	0.655	0.0117 82	38.2	2.3	-0.80	-159 37	13.6 -13	17.0	-14.6 2.1	9.4 -74.6	2.56 5.6E-3	2.95 9.0E-3	19.7 0.0
2013-04-11.11	1334-127	test	1.72	0.8	0.633	0.0121 82	38.2	2.3	-1.60	-159 37	13.6 -13	17.5	-14.9 1.2	9.2 -75.7	2.91 5.1E-3	3.04 7.4E-3	18.7 0.0
2013-04-11.12	1334-127	test	1.74	1.1	0.633	0.0126 82	36.6	2.2	-2.20	-158 37	13.6 -13	17.8	-15.2 0.4	8.9 -76.7	2.72 5.1E-3	3.12 9.7E-3	19.8 0.0
2013-04-11.13	1334-127	test	1.77	1.0	0.635	0.0134 82	36.2	2.2	-2.80	-158 37	13.6 -13	18.1	-15.1 0.3	9.1 -76.9	2.06 6.4E-3	2.98 0.013	21.9 0.1
2013-04-11.14	1334-127	test	1.79	1.0	0.635	0.0242 79	36.6	2.2	-1.00	-158 37	13.6 -13	18.4	-15.1 1.9	9.2 -75.4	2.66 7.1E-3	2.74 0.012	19.4 0.0
2013-04-11.15	1334-127	test	1.81	1.1	0.635	0.0128 82	36.2	2.2	-0.40	-157 37	13.6 -13	18.7	-14.4 2.7	9.9 -74.9	2.16 5.4E-3	2.86 0.011	20.9 0.0
2013-04-11.16	1334-127	test	1.85	0.8	0.658	0.0114 82	38.1	2.3	-2.00	-156 37	13.6 -13	19.3	-14.4 1.2	10.1 -76.6	2.70 4.4E-3	2.95 0.011	19.0 0.0
2013-04-11.17	1334-127	test	1.87	1.0	0.658	0.0126 81	35.9	2.3	-2.60	-156 37	13.6 -13	19.6	-14.9 0.4	9.5 -77.5	2.30 5.4E-3	2.99 0.013	21.0 0.0
2013-04-11.18	1334-127	test	1.90	1.0	0.636	0.0132 81	37.5	2.2	-3.20	-156 37	13.6 -13	19.9	-14.1 -0.4	10.4 -78.4	1.51 6.9E-3	2.85 0.017	24.9 0.1
2013-04-11.19	1334-127	test	1.92	1.0	0.636	0.0143 79	35.7	2.3	-1.40	-155 36	13.6 -13	20.2	-14.3 2.1	10.2 -76.1	2.91 6.4E-3	3.01 0.012	18.3 0.0
2013-04-11.21	1334-127	test	1.97	1.8	0.638	0.0142 78	38.2	2.3	-1.48	-154 36	13.6 -13	21.0	-15.1 0.9	9.5 -77.7	2.96 3.5E-3	3.08 7.6E-3	18.8 0.0
2013-04-11.22	1334-127	test	2.04	1.8	0.643	0.0151 81	38.2	2.3	-1.48	-153 36	13.6 -13	21.9	-11.5 5.5	9.7 -78.5	3.06 4.3E-3	3.12 7.2E-3	18.5 0.0
2013-04-11.23	A3581	209-12	2.13	5.0	0.606	0.0313 46	37.7	2.3	-1.48	-164 24	14.1 -27	14.4	-12.0 -7.8	9.4 -89.2	1.64E-3 1.6E-4	9.80E-4 2.1E-4	16.0 1.5
2013-04-11.24	1510-089	209-12	2.27	2.0	0.573	0.0136 97	37.8	2.2	-1.48	-178 44	15.2 -9	2.3	-12.9 3.2	7.1 -68.7	1.13 3.5E-3	1.17 5.2E-3	18.5 0.1
2013-04-11.27	1823+568	209-12	2.78	2.0	0.601	0.0124 96	37.2	2.1	-1.48	40 58	18.4 57	-111.9	-0.4 -0.1	-21.2 -79.3	0.431 3.0E-3	0.437 4.1E-3	18.0 0.1
2013-04-11.28	1823+568	209-12	2.84	1.8	0.639	0.0133 96	38.2	2.1	-1.48	39 58	18.4 57	-113.0	-32.9 22.2	-21.7 -79.9	0.427 3.3E-3	0.455 6.4E-3	18.8 0.1
2013-04-11.29	1823+568	209-12	2.90	1.8	0.639	0.0129 97	38.2	2.1	-1.48	39 59	18.4 57	-114.0	-32.4 22.1	-21.7 -79.7	0.426 3.6E-3	0.443 6.2E-3	18.5 0.2
2013-04-11.30	1823+568	test	2.97	1.8	0.645	0.0135 97	38.2	2.0	-1.48	38 59	18.4 57	-115.2	3.9 1.2	-21.4 -77.4	0.447 3.2E-3	0.471 5.6E-3	18.5 0.1
2013-04-11.31	1823+568	test	3.03	2.1	0.648	0.0148 96	37.4	2.0	-1.48	38 60	18.4 57	-116.3	0.0 0.0	-21.8 -77.4	0.442 3.6E-3	0.482 5.7E-3	18.6 0.1
