# SHARC2 Non-linearity Coefficients 
#
# row	col	G(eps=0)	I0(Vb=1V)	T0 (K))
# ----- ------- --------------  --------------- ----------
7	29	1.037575	1.1176E-2	735.554749
7	30	0.974131	1.1247E-2	777.812866
7	31	0.980936	1.4639E-2	961.234070
8	1	0.994406	9.1701E-3	656.098572
8	2	0.950358	9.9498E-3	722.141418
8	3	0.936914	1.0293E-2	755.968750
8	4	1.017062	1.0039E-2	688.694702
8	5	1.087970	1.0176E-2	668.545959
8	6	1.128120	1.0345E-2	661.417542
8	7	1.141959	1.0474E-2	656.657471
8	8	1.149008	1.0698E-2	665.959106
8	9	1.186654	1.0781E-2	654.345398
8	10	1.194818	1.1062E-2	659.534058
8	11	1.214393	1.1461E-2	674.491577
8	12	1.204212	1.1683E-2	688.347046
8	13	1.252738	1.1425E-2	661.172241
8	14	1.247070	1.1575E-2	669.559509
8	15	1.232465	1.1527E-2	675.776062
8	16	1.243088	1.1637E-2	673.318726
8	17	1.226402	1.1842E-2	694.029480
8	18	1.280049	1.1608E-2	666.509216
8	19	1.282911	1.1373E-2	653.101807
8	20	1.255424	1.1650E-2	673.592163
8	21	1.247016	1.1591E-2	674.026550
8	22	1.238990	1.1373E-2	664.661377
8	23	1.223215	1.1427E-2	673.969360
8	24	1.209955	1.1289E-2	672.409851
8	25	1.226350	1.1436E-2	675.306030
8	26	1.229509	1.1151E-2	660.645386
8	27	1.209387	1.0801E-2	670.508728
8	28	1.154303	1.0726E-2	668.478638
8	29	1.127115	1.0728E-2	680.753174
8	30	1.107895	1.0507E-2	679.168030
8	31	1.032152	1.0732E-2	724.638794
8	32	0.961186	1.1289E-2	805.406006
9	1	0.866792	7.5978E-3	638.303650
9	2	0.929828	8.4700E-3	656.356995
9	3	0.960876	9.1193E-3	680.516235
9	4	0.975559	9.5664E-3	699.013672
9	5	1.006166	9.8891E-3	704.268066
9	6	1.021017	1.0157E-2	707.387695
9	7	1.043075	1.0450E-2	722.473389
9	8	1.010698	1.0561E-2	739.418030
9	9	1.019648	1.0548E-2	727.215210
9	10	1.023159	1.0561E-2	726.239563
9	11	1.020317	1.0641E-2	731.813416
9	12	1.001401	1.0664E-2	741.691711
9	13	1.009831	1.0593E-2	734.259155
9	14	1.008873	1.0591E-2	732.307739
9	15	1.006492	1.0454E-2	727.064148
9	16	1.016066	1.0253E-2	708.942017
9	17	0.988343	1.0112E-2	724.805908
9	18	0.979230	1.0020E-2	730.667053
9	19	0.958369	9.9351E-3	730.093689
9	21	0.948718	9.7141E-3	723.057800
9	22	0.940617	9.4622E-3	725.573120
9	23	0.952039	9.6556E-3	728.578674
9	24	0.954904	9.7708E-3	727.549133
9	25	0.969901	9.7596E-3	720.515686
9	26	0.995325	9.6037E-3	699.112610
9	27	0.993791	9.5986E-3	698.945496
9	28	0.968784	9.6491E-3	715.343018
9	29	0.949393	9.4515E-3	717.395752
9	30	0.958469	9.0852E-3	690.737244
9	31	0.950737	8.9732E-3	687.032959
9	32	0.930354	8.4146E-3	661.807434
10	1	0.900406	7.9833E-3	650.007080
10	2	0.960426	8.6728E-3	660.261780
10	3	0.975116	8.9950E-3	671.338074
10	4	1.009206	9.5502E-3	691.682861
10	5	1.021548	9.8408E-3	701.235535
10	6	1.017361	1.0112E-2	713.324219
10	7	1.035940	1.0215E-2	706.913208
10	8	0.803026	1.0267E-2	718.344177
10	9	1.036935	1.0548E-2	722.518127
10	10	1.028567	1.0567E-2	732.544495
10	11	1.033334	1.0526E-2	728.572571
10	12	1.035199	1.0593E-2	729.107239
10	13	1.033966	1.0762E-2	740.509705
10	14	1.018638	1.0652E-2	740.508850
10	15	1.001128	1.0506E-2	748.478821
10	16	1.031868	1.0280E-2	714.872131
10	17	1.017248	1.0145E-2	722.209961
10	18	1.007892	1.0110E-2	728.600220
10	19	0.994569	1.0023E-2	725.545837
10	20	0.978003	9.8192E-3	722.053955
10	21	0.972829	9.6948E-3	725.659607
10	22	0.945061	9.5934E-3	732.079956
10	23	0.956037	9.3930E-3	712.404846
10	24	0.938267	9.4747E-3	726.338135
10	25	0.905265	9.1885E-3	725.762573
10	26	0.912871	9.2316E-3	719.575806
10	27	0.928492	9.1433E-3	703.121155
10	28	0.908721	9.2842E-3	722.040100
10	29	0.607637	9.1857E-3	748.756653
10	30	0.864079	9.2673E-3	763.290833
10	31	0.911344	9.0135E-3	716.560059
10	32	0.924388	8.3611E-3	667.894226
11	1	0.634952	4.5554E-3	556.057007
11	2	0.651762	4.7150E-3	553.297302
11	3	0.667322	4.8934E-3	560.494507
11	4	0.673627	4.9004E-3	559.619873
11	5	0.689414	4.9568E-3	556.635925
11	6	0.698811	4.9824E-3	547.234802
11	7	0.741513	5.8202E-3	577.320068
11	8	0.746539	5.8743E-3	575.995850
11	9	0.756071	5.8656E-3	570.352600
11	10	0.778160	6.1902E-3	579.302673
11	11	0.773932	6.1414E-3	576.118225
11	12	0.776968	6.0144E-3	568.787537
11	13	0.773041	5.8713E-3	562.270020
11	14	0.773335	5.8400E-3	560.828125
11	15	0.763247	5.8644E-3	559.409729
11	16	0.747554	5.4528E-3	542.743774
11	17	0.774755	5.8810E-3	563.919250
11	18	0.757478	5.3411E-3	541.301636
11	19	0.766377	5.3827E-3	542.122925
11	20	0.814434	6.2243E-3	570.836731
11	21	0.825704	6.2848E-3	570.758850
11	22	0.848292	6.5973E-3	582.787903
11	23	0.866150	6.5454E-3	573.073486
11	24	0.882808	6.8433E-3	585.035950
11	25	0.903395	7.0242E-3	590.503784
11	26	0.915947	7.1877E-3	593.651001
11	27	0.944273	7.2838E-3	584.595215
11	28	0.954827	7.6474E-3	600.152039
11	29	0.965367	7.8420E-3	610.180786
11	30	0.992804	8.0561E-3	612.761353
11	31	1.008222	8.2682E-3	620.701721
11	32	0.993377	7.7787E-3	597.245605
12	1	0.714955	5.5019E-3	560.290405
12	4	0.743637	5.9722E-3	598.842957
12	7	0.772203	6.0937E-3	600.064514
12	9	0.788923	7.1685E-3	643.049255
12	10	0.687680	6.2388E-3	632.385620
12	11	0.718598	6.3213E-3	624.394958
12	12	0.815172	7.7482E-3	662.786255
12	13	0.830373	7.8464E-3	668.074036
12	14	0.838334	7.9543E-3	657.738953
12	15	0.858245	7.9874E-3	655.764893
12	16	0.881885	8.1624E-3	656.986633
12	17	0.883883	8.3504E-3	667.756470
12	18	0.912898	8.1869E-3	642.757629
12	19	0.909877	8.4647E-3	661.595886
12	20	0.951816	8.0461E-3	623.902832
12	22	0.933958	9.3200E-3	706.890320
12	23	0.942743	9.7354E-3	735.209473
12	25	0.971602	9.9799E-3	735.815674
12	27	0.958951	1.0682E-2	794.678223
12	28	1.044280	1.0380E-2	724.835999
12	29	1.090801	1.0498E-2	708.091980
12	30	1.099727	1.0489E-2	704.948853
12	31	1.080908	1.0499E-2	715.161865
