# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_79-040
# Object: omc1_c
# Date: 2016-12-03T07:18:36.810 (MJD: 57725.305393449074)
# Project: 88_0005_79
# Exposure: 212.76539999999997 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 127d52m33.28s 33d33m07.52s
# CRUSH version: 2.34-2 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[2,24]	-0.001 	4.018E-3 	gn	7.587	1.000	1.000	88	0	2	24
R0[2,25]	-0.001 	4.005E-3 	gn	7.305	1.000	1.000	89	0	2	25
R0[2,26]	-0.001 	4.001E-3 	gn	8.421	1.000	1.000	90	0	2	26
R0[3,0]	0.527 	6.275E-4 	-	1.246	1.000	1.000	96	0	3	0
R0[3,1]	0.613 	5.256E-4 	-	1.145	1.000	1.000	97	0	3	1
R0[3,2]	0.633 	5.230E-4 	-	1.106	1.000	1.000	98	0	3	2
R0[3,3]	0.718 	4.268E-4 	-	1.057	1.000	1.000	99	0	3	3
R0[3,4]	0.001 	4.769E-3 	gn	-6.224	1.000	1.000	100	0	3	4
R0[3,5]	0.815 	3.592E-4 	-	0.996	1.000	1.000	101	0	3	5
R0[3,7]	0.870 	3.410E-4 	-	0.982	1.000	1.000	103	0	3	7
R0[3,8]	0.906 	3.524E-4 	-	0.941	1.000	1.000	104	0	3	8
R0[3,9]	0.938 	3.739E-4 	-	0.934	1.000	1.000	105	0	3	9
R0[3,10]	1.531 	2.012E-4 	-	0.804	1.000	1.000	106	0	3	10
R0[3,11]	0.988 	3.620E-4 	-	0.908	1.000	1.000	107	0	3	11
R0[3,12]	0.985 	3.068E-4 	-	0.898	1.000	1.000	108	0	3	12
R0[3,13]	0.983 	3.489E-4 	-	0.861	1.000	1.000	109	0	3	13
R0[3,14]	0.992 	3.078E-4 	-	0.845	1.000	1.000	110	0	3	14
R0[3,15]	1.027 	3.428E-4 	-	0.815	1.000	1.000	111	0	3	15
R0[3,16]	-0.001 	5.105E-3 	gn	10.041	1.000	1.000	112	0	3	16
R0[3,17]	0.001 	6.176E-3 	gn	-15.158	1.000	1.000	113	0	3	17
R0[3,18]	1.079 	1.595E-4 	-	0.798	1.000	1.000	114	0	3	18
R0[3,19]	1.095 	2.843E-4 	-	0.777	1.000	1.000	115	0	3	19
R0[3,21]	1.035 	3.363E-4 	-	0.784	1.000	1.000	117	0	3	21
R0[3,22]	0.001 	5.131E-3 	gn	-10.905	1.000	1.000	118	0	3	22
