# Efficiency factors for sampling the intrinsic PSF through a column 
# of 1.18 mm pixels (corresponding to the low res array)
# This is applicable to simulated data sets.
# Real data efficiencies will depend on slit size.
#     Wave[um]     Eff.
      107.840     0.587439
      108.082     0.586600
      108.323     0.585351
      108.565     0.583455
      108.806     0.582701
      109.046     0.582303
      109.287     0.581454
      109.527     0.579787
      109.767     0.579309
      110.007     0.578463
      110.247     0.577913
      110.486     0.576453
      110.725     0.576090
      110.964     0.575859
      111.203     0.574965
      111.441     0.573509
      111.679     0.572721
      111.917     0.571902
      112.155     0.571351
      112.392     0.569858
      112.629     0.568891
      112.866     0.568223
      113.103     0.567522
      113.339     0.566941
      113.576     0.566140
      113.812     0.565544
      114.047     0.565040
      114.283     0.564635
      114.518     0.562932
      114.838     0.561685
      115.072     0.560664
      115.307     0.559633
      115.541     0.558954
      115.775     0.558632
      116.009     0.557786
      116.242     0.557049
      116.475     0.554621
      116.708     0.554241
      116.941     0.553861
      117.174     0.552916
      117.406     0.551889
      117.638     0.550721
      117.870     0.550310
      118.101     0.548831
      118.333     0.548104
      118.564     0.547800
      118.794     0.546370
      119.025     0.545705
      119.255     0.545971
      119.485     0.545496
      119.715     0.543941
      119.945     0.542388
      120.174     0.542167
      120.403     0.541120
      120.632     0.540722
      120.860     0.539798
      121.088     0.539461
      121.316     0.537991
      121.544     0.537579
      121.772     0.536422
      121.999     0.535498
