# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_81-054
# Object: omc1_c
# Date: 2016-12-03T08:02:22.570 (MJD: 57725.33578418981)
# Project: 88_0005_81
# Exposure: 38.63184 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 131d47m40.32s 39d58m09.99s
# CRUSH version: 2.34-2 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[5,17]	1.020 	1.162E-3 	-	0.590	1.000	1.000	177	0	5	17
R0[5,18]	0.963 	1.145E-3 	-	0.605	1.000	1.000	178	0	5	18
R0[5,19]	0.945 	8.527E-4 	-	0.596	1.000	1.000	179	0	5	19
R0[5,21]	0.859 	1.220E-3 	-	0.594	1.000	1.000	181	0	5	21
R0[5,22]	0.915 	1.025E-3 	-	0.553	1.000	1.000	182	0	5	22
R0[5,23]	0.893 	9.115E-4 	-	0.565	1.000	1.000	183	0	5	23
R0[5,24]	0.004 	4.888E-3 	gn	-1.350	1.000	1.000	184	0	5	24
R0[5,25]	0.884 	1.001E-3 	-	0.550	1.000	1.000	185	0	5	25
R0[5,26]	0.546 	2.898E-3 	-	0.552	1.000	1.000	186	0	5	26
R0[6,0]	0.667 	1.519E-3 	-	0.667	1.000	1.000	192	0	6	0
R0[6,1]	0.673 	1.313E-3 	-	0.777	1.000	1.000	193	0	6	1
R0[6,2]	0.634 	1.927E-3 	-	0.805	1.000	1.000	194	0	6	2
R0[6,3]	1.028 	4.502E-4 	-	0.743	1.000	1.000	195	0	6	3
R0[6,4]	0.839 	9.558E-7 	n	1.044	1.000	1.000	196	0	6	4
R0[6,5]	1.143 	8.755E-4 	-	0.607	1.000	1.000	197	0	6	5
R0[6,7]	0.836 	1.261E-3 	-	0.699	1.000	1.000	199	0	6	7
R0[6,8]	0.873 	1.184E-3 	-	0.656	1.000	1.000	200	0	6	8
R0[6,9]	0.923 	1.129E-3 	-	0.650	1.000	1.000	201	0	6	9
R0[6,10]	0.992 	4.522E-4 	-	0.612	1.000	1.000	202	0	6	10
R0[6,11]	0.004 	1.164E-2 	gn	-2.042	1.000	1.000	203	0	6	11
R0[6,12]	0.913 	6.551E-4 	-	0.658	1.000	1.000	204	0	6	12
R0[6,13]	0.934 	8.891E-4 	-	0.645	1.000	1.000	205	0	6	13
R0[6,14]	0.948 	1.291E-3 	-	0.624	1.000	1.000	206	0	6	14
R0[6,15]	0.998 	7.072E-4 	-	0.622	1.000	1.000	207	0	6	15
R0[6,16]	1.095 	2.558E-4 	-	0.592	1.000	1.000	208	0	6	16
R0[6,17]	0.007 	1.087E-2 	gn	-1.801	1.000	1.000	209	0	6	17
R0[6,18]	0.006 	1.560E-3 	gn	-2.546	1.000	1.000	210	0	6	18
R0[6,19]	0.888 	6.223E-5 	n	0.631	1.000	1.000	211	0	6	19
R0[6,21]	0.954 	1.130E-3 	-	0.590	1.000	1.000	213	0	6	21
R0[6,22]	0.940 	1.219E-3 	-	0.585	1.000	1.000	214	0	6	22
R0[6,23]	0.911 	1.372E-3 	-	0.564	1.000	1.000	215	0	6	23
R0[6,24]	0.004 	5.107E-3 	gn	-1.212	1.000	1.000	216	0	6	24
R0[6,25]	0.885 	1.215E-3 	-	0.558	1.000	1.000	217	0	6	25
R0[6,26]	0.950 	8.945E-4 	-	0.560	1.000	1.000	218	0	6	26
R0[7,0]	0.328 	4.088E-3 	-	0.828	1.000	1.000	224	0	7	0
R0[7,1]	0.516 	2.227E-3 	-	0.859	1.000	1.000	225	0	7	1
R0[7,2]	0.019 	6.942E-3 	gn	0.848	1.000	1.000	226	0	7	2
R0[7,3]	0.688 	1.409E-3 	-	0.837	1.000	1.000	227	0	7	3
R0[7,4]	0.899 	5.982E-4 	-	0.730	1.000	1.000	228	0	7	4
R0[7,5]	0.987 	1.021E-3 	-	0.688	1.000	1.000	229	0	7	5
R0[7,7]	0.879 	1.098E-3 	-	0.668	1.000	1.000	231	0	7	7
R0[7,8]	0.901 	6.333E-4 	-	0.608	1.000	1.000	232	0	7	8
R0[7,9]	0.985 	1.409E-3 	-	0.622	1.000	1.000	233	0	7	9
R0[7,10]	1.068 	1.079E-3 	-	0.619	1.000	1.000	234	0	7	10
R0[7,11]	1.016 	3.564E-4 	-	0.622	1.000	1.000	235	0	7	11
R0[7,12]	0.945 	9.045E-4 	-	0.641	1.000	1.000	236	0	7	12
R0[7,13]	0.954 	1.096E-3 	-	0.613	1.000	1.000	237	0	7	13
R0[7,14]	0.967 	9.340E-4 	-	0.618	1.000	1.000	238	0	7	14
R0[7,15]	0.952 	8.658E-4 	-	0.603	1.000	1.000	239	0	7	15
R0[7,16]	1.208 	8.185E-4 	-	0.539	1.000	1.000	240	0	7	16
R0[7,17]	0.985 	9.519E-4 	-	0.617	1.000	1.000	241	0	7	17
R0[7,18]	0.949 	1.115E-3 	-	0.613	1.000	1.000	242	0	7	18
R0[7,19]	0.943 	1.088E-3 	-	0.616	1.000	1.000	243	0	7	19
R0[7,21]	1.068 	8.724E-4 	-	0.586	1.000	1.000	245	0	7	21
R0[7,22]	1.032 	1.137E-3 	-	0.569	1.000	1.000	246	0	7	22
R0[7,23]	0.928 	1.162E-3 	-	0.585	1.000	1.000	247	0	7	23
R0[7,24]	0.005 	5.839E-3 	gn	-1.112	1.000	1.000	248	0	7	24
R0[7,25]	1.002 	1.105E-3 	-	0.553	1.000	1.000	249	0	7	25
R0[7,26]	1.023 	2.139E-4 	-	0.565	1.000	1.000	250	0	7	26
R0[8,0]	0.003 	8.783E-3 	gn	2.100	1.000	1.000	256	0	8	0
R0[8,1]	0.617 	1.607E-3 	-	0.884	1.000	1.000	257	0	8	1
R0[8,2]	0.153 	6.497E-3 	g	1.002	1.000	1.000	258	0	8	2
R0[8,3]	0.760 	1.248E-3 	-	0.797	1.000	1.000	259	0	8	3
R0[8,4]	0.868 	1.117E-3 	-	0.747	1.000	1.000	260	0	8	4
R0[8,5]	0.042 	6.687E-3 	gn	0.896	1.000	1.000	261	0	8	5
R0[8,7]	0.003 	1.056E-2 	gn	1.858	1.000	1.000	263	0	8	7
R0[8,8]	0.946 	1.275E-3 	-	0.651	1.000	1.000	264	0	8	8
