# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_82-062
# Object: omc1_c
# Date: 2016-12-03T08:21:01.970 (MJD: 57725.348740208334)
# Project: 88_0005_82
# Exposure: 29.667599999999997 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 133d29m39.79s 42d43m03.84s
# CRUSH version: 2.34-1
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[6,23]	1.117 	2.217E-3 	-	1.625	1.000	1.000	215	0	6	23
R0[6,24]	-0.001 	1.746E-2 	gn	10.744	1.000	1.000	216	0	6	24
R0[6,25]	1.067 	2.648E-3 	-	1.609	1.000	1.000	217	0	6	25
R0[6,26]	1.149 	2.729E-3 	-	1.632	1.000	1.000	218	0	6	26
R0[7,0]	0.355 	4.195E-3 	B	0.087	1.000	1.000	224	0	7	0
R0[7,1]	0.427 	2.788E-3 	B	0.074	1.000	1.000	225	0	7	1
R0[7,2]	0.019 	6.551E-3 	gn	-0.351	1.000	1.000	226	0	7	2
R0[7,3]	0.737 	1.368E-3 	B	0.088	1.000	1.000	227	0	7	3
R0[7,4]	0.972 	2.517E-3 	-	0.469	1.000	1.000	228	0	7	4
R0[7,5]	1.105 	2.067E-3 	-	0.845	1.000	1.000	229	0	7	5
R0[7,7]	1.046 	2.664E-3 	-	1.542	1.000	1.000	231	0	7	7
R0[7,8]	1.072 	2.633E-3 	-	1.695	1.000	1.000	232	0	7	8
R0[7,9]	1.177 	2.312E-3 	-	1.650	1.000	1.000	233	0	7	9
R0[7,10]	1.295 	2.113E-3 	-	1.670	1.000	1.000	234	0	7	10
R0[7,11]	1.211 	1.591E-3 	-	1.682	1.000	1.000	235	0	7	11
R0[7,12]	1.162 	2.109E-3 	-	1.654	1.000	1.000	236	0	7	12
R0[7,13]	1.177 	1.766E-3 	-	1.632	1.000	1.000	237	0	7	13
R0[7,14]	1.157 	1.871E-3 	-	1.620	1.000	1.000	238	0	7	14
R0[7,15]	1.191 	1.604E-3 	-	1.522	1.000	1.000	239	0	7	15
R0[7,16]	1.464 	2.352E-3 	-	1.396	1.000	1.000	240	0	7	16
R0[7,17]	1.174 	2.054E-3 	-	1.598	1.000	1.000	241	0	7	17
R0[7,18]	1.173 	2.484E-3 	-	1.591	1.000	1.000	242	0	7	18
R0[7,19]	1.169 	1.604E-3 	-	1.592	1.000	1.000	243	0	7	19
R0[7,21]	1.277 	2.643E-3 	-	1.560	1.000	1.000	245	0	7	21
R0[7,22]	1.293 	2.085E-3 	-	1.579	1.000	1.000	246	0	7	22
R0[7,23]	1.137 	2.551E-3 	-	1.599	1.000	1.000	247	0	7	23
R0[7,24]	-0.001 	1.824E-2 	gn	13.984	1.000	1.000	248	0	7	24
R0[7,25]	1.239 	3.012E-3 	-	1.530	1.000	1.000	249	0	7	25
R0[7,26]	1.264 	4.455E-4 	-	1.615	1.000	1.000	250	0	7	26
R0[8,0]	0.001 	8.374E-3 	gn	-17.633	1.000	1.000	256	0	8	0
R0[8,1]	0.246 	9.722E-3 	g	0.121	1.000	1.000	257	0	8	1
R0[8,2]	0.053 	7.164E-3 	g	-0.122	1.000	1.000	258	0	8	2
R0[8,3]	0.739 	1.226E-3 	B	0.100	1.000	1.000	259	0	8	3
R0[8,4]	0.871 	2.939E-3 	-	0.462	1.000	1.000	260	0	8	4
R0[8,5]	0.040 	9.244E-3 	gn	0.599	1.000	1.000	261	0	8	5
R0[8,7]	-0.000 	1.476E-2 	gn	124.943	1.000	1.000	263	0	8	7
R0[8,8]	1.033 	2.656E-3 	-	1.689	1.000	1.000	264	0	8	8
R0[8,9]	1.076 	2.566E-3 	-	1.731	1.000	1.000	265	0	8	9
R0[8,10]	1.187 	2.622E-3 	-	1.639	1.000	1.000	266	0	8	10
R0[8,11]	1.190 	1.864E-3 	-	1.614	1.000	1.000	267	0	8	11
R0[8,12]	1.126 	1.953E-3 	-	1.606	1.000	1.000	268	0	8	12
R0[8,13]	1.136 	2.433E-3 	-	1.557	1.000	1.000	269	0	8	13
R0[8,14]	1.104 	3.006E-3 	-	1.628	1.000	1.000	270	0	8	14
R0[8,15]	1.135 	2.887E-3 	-	1.588	1.000	1.000	271	0	8	15
R0[8,16]	1.120 	1.402E-3 	-	1.628	1.000	1.000	272	0	8	16
R0[8,17]	1.120 	2.530E-3 	-	1.556	1.000	1.000	273	0	8	17
R0[8,18]	0.893 	3.356E-3 	-	1.559	1.000	1.000	274	0	8	18
R0[8,19]	0.001 	3.369E-2 	gn	-10.559	1.000	1.000	275	0	8	19
R0[8,21]	-0.001 	2.569E-2 	gn	21.789	1.000	1.000	277	0	8	21
R0[8,22]	1.352 	1.990E-3 	-	1.375	1.000	1.000	278	0	8	22
R0[8,23]	1.115 	3.318E-3 	-	1.525	1.000	1.000	279	0	8	23
R0[8,24]	-0.000 	1.993E-2 	gn	47.908	1.000	1.000	280	0	8	24
R0[8,25]	0.995 	2.952E-3 	-	1.544	1.000	1.000	281	0	8	25
R0[8,26]	-0.000 	1.760E-2 	gn	13.534	1.000	1.000	282	0	8	26
R0[9,0]	0.711 	4.183E-3 	-	0.270	1.000	1.000	288	0	9	0
R0[9,1]	0.095 	8.790E-3 	g	-0.021	1.000	1.000	289	0	9	1
R0[9,2]	0.759 	2.449E-3 	-	0.176	1.000	1.000	290	0	9	2
R0[9,3]	0.814 	2.510E-3 	-	0.450	1.000	1.000	291	0	9	3
R0[9,4]	0.919 	2.214E-3 	-	0.427	1.000	1.000	292	0	9	4
R0[9,5]	0.764 	3.780E-3 	-	0.710	1.000	1.000	293	0	9	5
R0[9,7]	1.042 	1.646E-3 	-	1.610	1.000	1.000	295	0	9	7
R0[9,8]	1.050 	1.268E-3 	-	1.664	1.000	1.000	296	0	9	8
R0[9,9]	1.072 	2.939E-3 	-	1.665	1.000	1.000	297	0	9	9
R0[9,10]	1.122 	2.787E-3 	-	1.617	1.000	1.000	298	0	9	10
R0[9,11]	1.129 	2.433E-3 	-	1.539	1.000	1.000	299	0	9	11
R0[9,12]	1.106 	3.470E-3 	-	1.623	1.000	1.000	300	0	9	12
R0[9,13]	1.109 	2.569E-3 	-	1.651	1.000	1.000	301	0	9	13
R0[9,14]	1.133 	2.839E-3 	-	1.641	1.000	1.000	302	0	9	14
R0[9,15]	1.158 	2.651E-3 	-	1.597	1.000	1.000	303	0	9	15
R0[9,16]	1.210 	2.241E-3 	-	1.597	1.000	1.000	304	0	9	16
R0[9,17]	0.001 	3.746E-2 	gn	-30.254	1.000	1.000	305	0	9	17
R0[9,18]	1.091 	2.918E-3 	-	1.650	1.000	1.000	306	0	9	18
R0[9,19]	1.171 	1.915E-3 	-	1.504	1.000	1.000	307	0	9	19
R0[9,21]	-0.001 	8.697E-3 	gn	15.220	1.000	1.000	309	0	9	21
R0[9,22]	0.001 	3.385E-2 	gn	-11.483	1.000	1.000	310	0	9	22
R0[9,23]	1.098 	3.225E-3 	-	1.595	1.000	1.000	311	0	9	23
R0[9,24]	-0.001 	2.064E-2 	gn	22.229	1.000	1.000	312	0	9	24
R0[9,25]	1.104 	2.254E-3 	-	1.579	1.000	1.000	313	0	9	25
R0[9,26]	1.059 	1.931E-3 	-	1.576	1.000	1.000	314	0	9	26
R0[10,0]	0.840 	2.884E-3 	-	0.207	1.000	1.000	320	0	10	0
R0[10,1]	0.840 	2.324E-3 	-	0.166	1.000	1.000	321	0	10	1
R0[10,2]	0.794 	2.268E-3 	-	0.111	1.000	1.000	322	0	10	2
R0[10,3]	0.813 	2.800E-3 	-	0.249	1.000	1.000	323	0	10	3
R0[10,4]	0.987 	2.915E-3 	-	0.429	1.000	1.000	324	0	10	4
R0[10,5]	0.969 	2.003E-3 	-	0.995	1.000	1.000	325	0	10	5
R0[10,7]	1.061 	2.615E-3 	-	1.609	1.000	1.000	327	0	10	7
R0[10,8]	1.111 	2.357E-3 	-	1.662	1.000	1.000	328	0	10	8
R0[10,9]	1.052 	3.023E-3 	-	1.601	1.000	1.000	329	0	10	9
R0[10,10]	1.096 	1.264E-3 	-	1.637	1.000	1.000	330	0	10	10
R0[10,11]	1.128 	1.815E-3 	-	1.607	1.000	1.000	331	0	10	11
R0[10,12]	1.171 	2.675E-3 	-	1.654	1.000	1.000	332	0	10	12
R0[10,13]	1.166 	8.782E-4 	-	1.643	1.000	1.000	333	0	10	13
R0[10,14]	1.206 	2.141E-3 	-	1.613	1.000	1.000	334	0	10	14
R0[10,15]	1.297 	2.516E-3 	-	1.603	1.000	1.000	335	0	10	15
R0[10,16]	1.259 	2.175E-3 	-	1.590	1.000	1.000	336	0	10	16
R0[10,17]	1.214 	2.015E-3 	-	1.711	1.000	1.000	337	0	10	17
R0[10,18]	1.195 	2.546E-3 	-	1.538	1.000	1.000	338	0	10	18
R0[10,19]	1.163 	2.182E-3 	-	1.520	1.000	1.000	339	0	10	19
