# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_79-040
# Object: omc1_c
# Date: 2016-12-03T07:18:36.810 (MJD: 57725.305393449074)
# Project: 88_0005_79
# Exposure: 211.23036 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 127d52m33.28s 33d33m07.52s
# CRUSH version: 2.34-1
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[3,2]	0.652 	5.467E-4 	-	2.556	1.000	1.000	98	0	3	2
R0[3,3]	0.740 	4.524E-4 	-	2.425	1.000	1.000	99	0	3	3
R0[3,4]	0.002 	7.357E-3 	gn	-6.003	1.000	1.000	100	0	3	4
R0[3,5]	0.839 	3.792E-4 	-	2.233	1.000	1.000	101	0	3	5
R0[3,7]	0.895 	3.723E-4 	-	2.229	1.000	1.000	103	0	3	7
R0[3,8]	0.933 	3.800E-4 	-	2.196	1.000	1.000	104	0	3	8
R0[3,9]	0.965 	3.963E-4 	-	2.177	1.000	1.000	105	0	3	9
R0[3,10]	1.569 	2.195E-4 	-	1.861	1.000	1.000	106	0	3	10
R0[3,11]	1.018 	3.873E-4 	-	2.114	1.000	1.000	107	0	3	11
R0[3,12]	1.014 	3.230E-4 	-	2.065	1.000	1.000	108	0	3	12
R0[3,13]	1.012 	3.752E-4 	-	2.014	1.000	1.000	109	0	3	13
R0[3,14]	1.019 	3.307E-4 	-	1.988	1.000	1.000	110	0	3	14
R0[3,15]	1.057 	3.566E-4 	-	1.986	1.000	1.000	111	0	3	15
R0[3,16]	0.000 	8.991E-3 	gn	-152.761	1.000	1.000	112	0	3	16
R0[3,17]	0.001 	1.091E-2 	gn	-11.002	1.000	1.000	113	0	3	17
R0[3,18]	1.109 	1.721E-4 	-	1.848	1.000	1.000	114	0	3	18
R0[3,19]	1.127 	3.149E-4 	-	1.804	1.000	1.000	115	0	3	19
R0[3,21]	1.062 	3.540E-4 	-	1.876	1.000	1.000	117	0	3	21
R0[3,22]	0.002 	7.984E-3 	gn	-8.657	1.000	1.000	118	0	3	22
R0[3,23]	1.121 	3.131E-4 	-	1.794	1.000	1.000	119	0	3	23
R0[3,24]	0.000 	6.089E-3 	gn	-162.233	1.000	1.000	120	0	3	24
R0[3,25]	1.092 	2.899E-4 	-	1.795	1.000	1.000	121	0	3	25
R0[3,26]	1.072 	3.256E-4 	-	1.828	1.000	1.000	122	0	3	26
R0[4,0]	0.625 	7.144E-4 	-	2.437	1.000	1.000	128	0	4	0
R0[4,1]	0.631 	6.547E-4 	-	2.526	1.000	1.000	129	0	4	1
R0[4,2]	0.618 	7.440E-4 	-	2.403	1.000	1.000	130	0	4	2
R0[4,3]	0.639 	6.570E-4 	-	2.393	1.000	1.000	131	0	4	3
R0[4,4]	0.714 	6.255E-4 	-	2.203	1.000	1.000	132	0	4	4
R0[4,5]	0.765 	5.999E-4 	-	2.120	1.000	1.000	133	0	4	5
R0[4,7]	1.111 	3.752E-4 	-	1.755	1.000	1.000	135	0	4	7
R0[4,8]	0.001 	9.179E-3 	gn	-14.865	1.000	1.000	136	0	4	8
R0[4,9]	0.904 	3.746E-4 	-	2.066	1.000	1.000	137	0	4	9
R0[4,10]	0.890 	5.060E-4 	-	2.067	1.000	1.000	138	0	4	10
R0[4,11]	0.000 	9.174E-3 	gn	-130.493	1.000	1.000	139	0	4	11
R0[4,12]	0.938 	2.606E-4 	-	1.954	1.000	1.000	140	0	4	12
R0[4,13]	0.960 	3.959E-4 	-	1.975	1.000	1.000	141	0	4	13
R0[4,14]	0.964 	4.499E-4 	-	1.961	1.000	1.000	142	0	4	14
R0[4,15]	1.277 	3.429E-4 	-	1.600	1.000	1.000	143	0	4	15
R0[4,16]	1.086 	3.267E-4 	-	1.795	1.000	1.000	144	0	4	16
R0[4,17]	1.030 	4.109E-4 	-	1.798	1.000	1.000	145	0	4	17
R0[4,18]	1.066 	4.362E-4 	-	1.748	1.000	1.000	146	0	4	18
R0[4,19]	0.001 	3.347E-3 	gn	-26.739	1.000	1.000	147	0	4	19
R0[4,21]	0.293 	3.110E-3 	g	1.834	1.000	1.000	149	0	4	21
R0[4,22]	0.960 	4.582E-4 	-	1.757	1.000	1.000	150	0	4	22
R0[4,23]	0.983 	3.328E-4 	-	1.696	1.000	1.000	151	0	4	23
R0[4,24]	0.000 	6.013E-3 	gn	-295.573	1.000	1.000	152	0	4	24
R0[4,25]	0.969 	4.030E-4 	-	1.686	1.000	1.000	153	0	4	25
